league,round,team1,team2,dd,result,star,stadium,remark
supercup,,ESbcl,ESsvl,20060825,0-3,2,,
CL,v3,DKfkp,NLajx,20060809,1-2,-1,,
CL,v3,NLajx,DKfkp,20060823,0-2,1,,
CL,gC,TRglt,FRgbr,20060912,0-0,,,
CL,gC,NLpsv,G1lvp,20060912,0-0,,,
CL,gC,G1lvp,TRglt,20060927,3-2,,,
CL,gC,FRgbr,NLpsv,20060927,0-1,,,
CL,gC,FRgbr,G1lvp,20061018,0-1,,,
CL,gC,TRglt,NLpsv,20061018,1-2,,,
CL,gC,G1lvp,FRgbr,20061031,3-0,,,
CL,gC,NLpsv,TRglt,20061031,2-0,,,
CL,gC,FRgbr,TRglt,20061122,3-1,,,
CL,gC,G1lvp,NLpsv,20061122,2-0,,,
CL,gC,TRglt,G1lvp,20061205,3-2,,,
CL,gC,NLpsv,FRgbr,20061205,1-3,,,
CL,8f,NLpsv,G1ars,20070220,1-0,-1,,
CL,8f,G1ars,NLpsv,20070307,1-1,1,,
CL,8f,FRlll,G1mnu,20070220,1-1,-1,,
CL,8f,G1mnu,FRlll,20070307,1-0,2,,
CL,8f,ESrmd,DEbmn,20070220,3-2,-1,,
CL,8f,DEbmn,ESrmd,20070307,2-1,2,,
CL,8f,G2clt,ITmln,20070220,0-0,-1,,
CL,8f,ITmln,G2clt,20070307,1-0,4,,
CL,8f,PTpor,G1cls,20070221,1-1,-1,,
CL,8f,G1cls,PTpor,20070306,2-1,2,,
CL,8f,ITasr,FRoly,20070221,0-0,-1,,
CL,8f,FRoly,ITasr,20070306,0-2,1,,
CL,8f,ESbcl,G1lvp,20070221,1-2,-1,,
CL,8f,G1lvp,ESbcl,20070306,0-1,2,,
CL,8f,ITiml,ESval,20070221,2-2,-1,,
CL,8f,ESval,ITiml,20070306,0-0,2,,
CL,4f,G1cls,ESval,20070404,1-1,-1,,
CL,4f,ESval,G1cls,20070410,1-2,1,,
CL,4f,NLpsv,G1lvp,20070403,0-3,-1,,
CL,4f,G1lvp,NLpsv,20070411,1-0,2,,
CL,4f,ITasr,G1mnu,20070404,2-1,-1,,
CL,4f,G1mnu,ITasr,20070410,7-1,2,,
CL,4f,ITmln,DEbmn,20070403,2-2,-1,,
CL,4f,DEbmn,ITmln,20070411,0-2,1,,
CL,2f,G1cls,G1lvp,20070425,1-0,-1,,
CL,2f,G1lvp,G1cls,20070501,1-0,6,,
CL,2f,G1mnu,ITmln,20070424,3-2,-1,,
CL,2f,ITmln,G1mnu,20070502,3-0,2,,
CL,f,ITmln,G1lvp,20070523,2-1,1,Athene,
UEFAcup,v2,NLtwn,EElvd,20060810,1-1,-1,,
UEFAcup,v2,EElvd,NLtwn,20060824,1-0,2,,
UEFAcup,round1,NLaz1,TRksr,20060914,3-2,-1,,
UEFAcup,round1,TRksr,NLaz1,20060928,1-1,1,,
UEFAcup,round1,BGlks,NLfyn,20060914,2-2,-1,,
UEFAcup,round1,NLfyn,BGlks,20060928,0-0,2,,
UEFAcup,round1,PTvts,NLhrv,20060914,0-3,-1,,
UEFAcup,round1,NLhrv,PTvts,20060928,0-0,1,,
UEFAcup,round1,RSprt,NLgrn,20060914,4-2,-1,,
UEFAcup,round1,NLgrn,RSprt,20060928,1-0,1,,
UEFAcup,round1,NOiks,NLajx,20060914,2-5,-1,,
UEFAcup,round1,NLajx,NOiks,20060928,4-0,2,,
UEFAcup,gC,NLaz1,PTbrg,20061019,3-0,,,
UEFAcup,gC,CZsll,ESsvl,20061019,0-0,,,
UEFAcup,gC,CHgrs,NLaz1,20061102,2-5,,,
UEFAcup,gC,PTbrg,CZsll,20061102,4-0,,,
UEFAcup,gC,ESsvl,PTbrg,20061123,2-0,,,
UEFAcup,gC,CZsll,CHgrs,20061123,4-1,,,
UEFAcup,gC,NLaz1,CZsll,20061129,2-2,,,
UEFAcup,gC,CHgrs,ESsvl,20061129,0-4,,,
UEFAcup,gC,ESsvl,NLaz1,20061214,1-2,,,
UEFAcup,gC,PTbrg,CHgrs,20061214,2-0,,,
UEFAcup,gD,DKodn,ITprm,20061019,1-2,,,
UEFAcup,gD,ESoss,NLhrv,20061019,0-0,,,
UEFAcup,gD,NLhrv,DKodn,20061102,0-2,,,
UEFAcup,gD,FRrcl,ESoss,20061102,3-1,,,
UEFAcup,gD,ITprm,NLhrv,20061123,2-1,,,
UEFAcup,gD,DKodn,FRrcl,20061123,1-1,,,
UEFAcup,gD,ESoss,DKodn,20061129,3-1,,,
UEFAcup,gD,FRrcl,ITprm,20061129,1-2,,,
UEFAcup,gD,NLhrv,FRrcl,20061214,1-0,,,
UEFAcup,gD,ITprm,ESoss,20061214,0-3,,,
UEFAcup,gE,PLwkr,G1bbr,20061019,1-2,,,
UEFAcup,gE,CHbsl,NLfyn,20061019,1-1,,,
UEFAcup,gE,G1bbr,CHbsl,20061102,3-0,,,
UEFAcup,gE,FRnnc,PLwkr,20061102,2-1,,,
UEFAcup,gE,NLfyn,G1bbr,20061123,0-0,,,
UEFAcup,gE,CHbsl,FRnnc,20061123,2-2,,,
UEFAcup,gE,FRnnc,NLfyn,20061130,3-0,,,
UEFAcup,gE,PLwkr,CHbsl,20061130,3-1,,,
UEFAcup,gE,NLfyn,PLwkr,20061213,3-1,,,
UEFAcup,gE,G1bbr,FRnnc,20061213,1-0,,,
UEFAcup,gF,ATawn,BEzwr,20061019,1-4,,,
UEFAcup,gF,CZspr,ESesp,20061019,0-2,,,
UEFAcup,gF,NLajx,ATawn,20061102,3-0,,,
UEFAcup,gF,BEzwr,CZspr,20061102,3-1,,,
UEFAcup,gF,CZspr,NLajx,20061123,0-0,,,
UEFAcup,gF,ESesp,BEzwr,20061123,6-2,,,
UEFAcup,gF,NLajx,ESesp,20061130,0-2,,,
UEFAcup,gF,ATawn,CZspr,20061130,0-1,,,
UEFAcup,gF,BEzwr,NLajx,20061213,0-3,,,
UEFAcup,gF,ESesp,ATawn,20061213,1-0,,,
UEFAcup,round3,NLfyn,G1ttt,20070214,-,-1,,gaat definitief niet door vanwege straf UEFA n.a.v. supportersrellen in Nancy.
UEFAcup,round3,TRfen,NLaz1,20070214,3-3,-1,,
UEFAcup,round3,NLaz1,TRfen,20070222,2-2,2,,
UEFAcup,round3,DEwbr,NLajx,20070214,3-0,-1,,
UEFAcup,round3,NLajx,DEwbr,20070222,3-1,1,,
UEFAcup,8f,G1nwc,NLaz1,20070308,4-2,-1,,
UEFAcup,8f,NLaz1,G1nwc,20070315,2-0,2,,
UEFAcup,4f,ESesp,PTbnf,20070405,3-2,-1,,
