league,round,team1,team2,dd,result,star,stadium
UEFAcup,gE,NLhrv,ITmln,20081023,1-3,,
UEFAcup,gE,PTbrg,G1prt,20081023,3-0,,
UEFAcup,gE,DEvwl,NLhrv,20081106,5-1,,
UEFAcup,gE,ITmln,PTbrg,20081106,1-0,,
UEFAcup,gE,G1prt,ITmln,20081127,2-2,,
UEFAcup,gE,PTbrg,DEvwl,20081127,2-3,,
UEFAcup,gE,NLhrv,PTbrg,20081203,1-2,,
UEFAcup,gE,DEvwl,G1prt,20081203,3-2,,
UEFAcup,gE,G1prt,NLhrv,20081217,3-0,,
UEFAcup,gE,ITmln,DEvwl,20081217,2-2,,
UEFAcup,gF,G1avl,NLajx,20081023,2-1,,
UEFAcup,gF,SKzln,DEhsv,20081023,1-2,,
UEFAcup,gF,NLajx,SKzln,20081106,1-0,,
UEFAcup,gF,CZslp,G1avl,20081106,0-1,,
UEFAcup,gF,DEhsv,NLajx,20081127,0-1,,
UEFAcup,gF,SKzln,CZslp,20081127,0-0,,
UEFAcup,gF,CZslp,DEhsv,20081204,0-2,,
UEFAcup,gF,G1avl,SKzln,20081204,1-2,,
UEFAcup,gF,NLajx,CZslp,20081217,2-2,,
UEFAcup,gF,DEhsv,G1avl,20081217,3-1,,
UEFAcup,gH,FRnnc,NLfyn,20081023,3-0,,
UEFAcup,gH,RUcmk,ESdlc,20081023,3-0,,
UEFAcup,gH,NLfyn,RUcmk,20081106,1-3,,
UEFAcup,gH,PLlpz,FRnnc,20081106,2-2,,
UEFAcup,gH,ESdlc,NLfyn,20081127,3-0,,
UEFAcup,gH,RUcmk,PLlpz,20081127,2-1,,
UEFAcup,gH,PLlpz,ESdlc,20081204,1-1,,
UEFAcup,gH,FRnnc,RUcmk,20081204,3-4,,
UEFAcup,gH,NLfyn,PLlpz,20081217,0-1,,
UEFAcup,gH,ESdlc,FRnnc,20081217,1-0,,
UEFAcup,round3,NLnec,DEhsv,20090218,0-3,-1,
UEFAcup,round3,DEhsv,NLnec,20090226,1-0,2,
UEFAcup,round3,ITfrt,NLajx,20090219,0-1,-1,
UEFAcup,round3,NLajx,ITfrt,20090226,1-1,2,
UEFAcup,round3,FRomr,NLtwn,20090219,0-1,-1,
UEFAcup,round3,NLtwn,FRomr,20090226,0-1,5,
UEFAcup,8f,FRomr,NLajx,20090312,2-1,-1,
UEFAcup,8f,NLajx,FRomr,20090318,2-2,3,
UEFAcup,4f,DEwbr,ITudn,20090409,3-1,-1,
UEFAcup,4f,ITudn,DEwbr,20090416,3-3,1,
UEFAcup,4f,DEhsv,G1mnc,20090409,3-1,-1,
UEFAcup,4f,G1mnc,DEhsv,20090416,2-1,1,
UEFAcup,4f,FRpsg,UAdkv,20090409,0-0,-1,
UEFAcup,4f,UAdkv,FRpsg,20090416,3-0,2,
UEFAcup,4f,UAsdk,FRomr,20090409,2-0,-1,
UEFAcup,4f,FRomr,UAsdk,20090416,1-2,1,
UEFAcup,2f,DEwbr,DEhsv,20090430,0-1,-1,
UEFAcup,2f,DEhsv,DEwbr,20090507,2-3,1,
UEFAcup,2f,UAdkv,UAsdk,20090430,1-1,-1,
UEFAcup,2f,UAsdk,UAdkv,20090507,2-1,2,
UEFAcup,f,UAsdk,DEwbr,20090520,2-1,3,Istanbul
