league,round,team1,team2,dd,result,star,stadium
supercup,,G1mnu,RUzsp,20080829,1-2,2,
CL,v3,NLtwn,G1ars,20080813,0-2,-1,
CL,v3,G1ars,NLtwn,20080827,4-0,2,
CL,gD,NLpsv,ESamd,20080916,0-3,,
CL,gD,FRomr,G1lvp,20080916,1-2,,
CL,gD,G1lvp,NLpsv,20081001,3-1,,
CL,gD,ESamd,FRomr,20081001,2-1,,
CL,gD,NLpsv,FRomr,20081022,2-0,,
CL,gD,ESamd,G1lvp,20081022,1-1,,
CL,gD,FRomr,NLpsv,20081104,3-0,,
CL,gD,G1lvp,ESamd,20081104,1-1,,
CL,gD,ESamd,NLpsv,20081126,2-1,,
CL,gD,G1lvp,FRomr,20081126,1-0,,
CL,gD,NLpsv,G1lvp,20081209,1-3,,
CL,gD,FRomr,ESamd,20081209,0-0,,
CL,8f,ITiml,G1mnu,20090224,0-0,-1,
CL,8f,G1mnu,ITiml,20090311,2-0,2,
CL,8f,G1ars,ITasr,20090224,1-0,-1,
CL,8f,ITasr,G1ars,20090311,1-0,6,
CL,8f,FRoly,ESbcl,20090224,1-1,-1,
CL,8f,ESbcl,FRoly,20090311,5-2,2,
CL,8f,ESamd,PTpor,20090224,2-2,-1,
CL,8f,PTpor,ESamd,20090311,0-0,2,
CL,8f,ESrmd,G1lvp,20090225,0-1,-1,
CL,8f,G1lvp,ESrmd,20090310,4-0,2,
CL,8f,G1cls,ITjuv,20090225,1-0,-1,
CL,8f,ITjuv,G1cls,20090310,2-2,1,
CL,8f,PTspp,DEbmn,20090225,0-5,-1,
CL,8f,DEbmn,PTspp,20090310,7-1,2,
CL,8f,ESvlr,GRpnt,20090225,1-1,-1,
CL,8f,GRpnt,ESvlr,20090310,1-2,1,
CL,4f,G1mnu,PTpor,20090407,2-2,-1,
CL,4f,PTpor,G1mnu,20090415,0-1,1,
CL,4f,ESvlr,G1ars,20090407,1-1,-1,
CL,4f,G1ars,ESvlr,20090415,3-0,2,
CL,4f,ESbcl,DEbmn,20090408,4-0,-1,
CL,4f,DEbmn,ESbcl,20090414,1-1,1,
CL,4f,G1lvp,G1cls,20090408,1-3,-1,
CL,4f,G1cls,G1lvp,20090414,4-4,2,
CL,2f,G1mnu,G1ars,20090429,1-0,-1,
CL,2f,G1ars,G1mnu,20090505,1-3,1,
CL,2f,ESbcl,G1cls,20090428,0-0,-1,
CL,2f,G1cls,ESbcl,20090506,1-1,1,
CL,f,ESbcl,G1mnu,20090527,2-0,1,Rome
UEFAcup,round1,RSbrc,NLajx,20080918,1-4,-1,
UEFAcup,round1,NLajx,RSbrc,20081002,2-0,2,
UEFAcup,round1,NLfyn,SEklm,20080918,0-1,-1,
UEFAcup,round1,SEklm,NLfyn,20081002,1-2,1,
UEFAcup,round1,NLnec,ROdnb,20080918,1-0,-1,
UEFAcup,round1,ROdnb,NLnec,20081002,0-0,1,
UEFAcup,round1,FRrnn,NLtwn,20080918,2-1,-1,
UEFAcup,round1,NLtwn,FRrnn,20081002,1-0,2,
UEFAcup,round1,PTvts,NLhrv,20080918,1-1,-1,
UEFAcup,round1,NLhrv,PTvts,20081002,5-2,2,
UEFAcup,gA,NLtwn,ESrst,20081023,1-0,,
UEFAcup,gA,DEs04,FRpsg,20081023,3-1,,
UEFAcup,gA,G1mnc,NLtwn,20081106,3-2,,
UEFAcup,gA,ESrst,DEs04,20081106,1-1,,
UEFAcup,gA,FRpsg,ESrst,20081127,2-2,,
UEFAcup,gA,DEs04,G1mnc,20081127,0-2,,
UEFAcup,gA,NLtwn,DEs04,20081203,2-1,,
UEFAcup,gA,G1mnc,FRpsg,20081203,0-0,,
UEFAcup,gA,FRpsg,NLtwn,20081218,4-0,,
UEFAcup,gA,ESrst,G1mnc,20081218,3-1,,
UEFAcup,gD,HRdzg,NLnec,20081023,3-2,,
UEFAcup,gD,ITudn,G1ttt,20081023,2-0,,
UEFAcup,gD,G1ttt,HRdzg,20081106,4-0,,
UEFAcup,gD,RUsmk,ITudn,20081106,1-2,,
UEFAcup,gD,NLnec,G1ttt,20081127,0-1,,
UEFAcup,gD,HRdzg,RUsmk,20081127,0-1,,
UEFAcup,gD,RUsmk,NLnec,20081203,1-2,,
UEFAcup,gD,ITudn,HRdzg,20081203,2-1,,
UEFAcup,gD,NLnec,ITudn,20081218,2-0,,
UEFAcup,gD,G1ttt,RUsmk,20081218,2-2,,
