league,round,team1,team2,dd,result,star,stadium,remark
CL,v3,SImrb,NLpsv,19980812,2-1,-1,,
CL,v3,NLpsv,SImrb,19980826,4-1,4,,
CL,gA,PTpor,GRolp,19980916,2-2,,,
CL,gA,HRczg,NLajx,19980916,0-0,,,
CL,gA,GRolp,HRczg,19980930,2-0,,,
CL,gA,NLajx,PTpor,19980930,2-1,,,
CL,gA,GRolp,NLajx,19981021,1-0,,,
CL,gA,PTpor,HRczg,19981021,3-0,,,
CL,gA,NLajx,GRolp,19981104,2-0,,,
CL,gA,HRczg,PTpor,19981104,3-1,,,
CL,gA,GRolp,PTpor,19981125,2-1,,,
CL,gA,NLajx,HRczg,19981125,0-1,,,
CL,gA,PTpor,NLajx,19981209,3-0,,,
CL,gA,HRczg,GRolp,19981209,1-1,,,
CL,gF,NLpsv,FIhjk,19980916,2-1,,,
CL,gF,DEksl,PTbnf,19980916,1-0,,,
CL,gF,PTbnf,NLpsv,19980930,2-1,,,
CL,gF,FIhjk,DEksl,19980930,0-0,,,
CL,gF,FIhjk,PTbnf,19981021,2-0,,,
CL,gF,NLpsv,DEksl,19981021,1-2,,,
CL,gF,PTbnf,FIhjk,19981104,2-2,,,
CL,gF,DEksl,NLpsv,19981104,3-1,,,
CL,gF,FIhjk,NLpsv,19981125,1-3,,,
CL,gF,PTbnf,DEksl,19981125,2-1,,,
CL,gF,NLpsv,PTbnf,19981209,2-2,,,
CL,gF,DEksl,FIhjk,19981209,5-2,,,
CL,4f,ITjuv,GRolp,19990303,2-1,-1,,
CL,4f,GRolp,ITjuv,19990317,1-1,1,,
CL,4f,G1mnu,ITiml,19990303,2-0,-1,,
CL,4f,ITiml,G1mnu,19990317,1-1,1,,
CL,4f,DEbmn,DEksl,19990303,2-0,-1,,
CL,4f,DEksl,DEbmn,19990317,0-4,1,,
CL,4f,ESrmd,UAdkv,19990303,1-1,-1,,
CL,4f,UAdkv,ESrmd,19990317,2-0,2,,
CL,2f,G1mnu,ITjuv,19990407,1-1,-1,,
CL,2f,ITjuv,G1mnu,19990421,2-3,1,,
CL,2f,UAdkv,DEbmn,19990407,3-3,-1,,
CL,2f,DEbmn,UAdkv,19990421,1-0,2,,
CL,f,G1mnu,DEbmn,19990526,2-1,1,Barcelona (Nou Camp),In de finale scoort Manchester United beide goals in de blessuretijd.
EC2,round1,NLhrv,PLawr,19980917,3-1,-1,,
EC2,round1,PLawr,NLhrv,19981001,0-1,1,,
EC2,16f,NLhrv,HRvrv,19981022,2-1,-1,,
EC2,16f,HRvrv,NLhrv,19981105,4-2,4,,
EC2,4f,GRpan,ITlzr,19990304,0-4,-1,,
EC2,4f,ITlzr,GRpan,19990318,3-0,2,,
EC2,4f,RUlkm,ILmhf,19990304,3-0,-1,,
EC2,4f,ILmhf,RUlkm,19990318,0-1,1,,
EC2,4f,HRvrv,ESmlr,19990304,0-0,-1,,
EC2,4f,ESmlr,HRvrv,19990318,3-1,2,,
EC2,4f,G1cls,NOvli,19990304,3-0,-1,,
EC2,4f,NOvli,G1cls,19990318,2-3,1,,
EC2,2f,RUlkm,ITlzr,19990408,1-1,-1,,
EC2,2f,ITlzr,RUlkm,19990422,0-0,2,,
EC2,2f,G1cls,ESmlr,19990408,1-1,-1,,
EC2,2f,ESmlr,G1cls,19990422,1-0,2,,
EC2,f,ITlzr,ESmlr,19990519,2-1,1,Birmingham (Villa Park),Lazio Roma is de laatste winnaar van de Europacup II.<br>Vanaf volgend seizoen zijn meeste bekerwinnaars in de UEFA-cup terug te vinden.
UEFAcup,round1,DEvfs,NLfyn,19980915,1-3,-1,,
UEFAcup,round1,NLfyn,DEvfs,19980929,0-3,1,,
UEFAcup,round1,NLwl2,GEdtb,19980915,3-0,-1,,
UEFAcup,round1,GEdtb,NLwl2,19980929,0-3,1,,
UEFAcup,round1,NLvit,GRaek,19980915,3-0,-1,,
UEFAcup,round1,GRaek,NLvit,19980929,3-3,1,,
UEFAcup,16f,NLwl2,ESbsv,19981020,1-1,-1,,
UEFAcup,16f,ESbsv,NLwl2,19981103,3-0,2,,
UEFAcup,16f,NLvit,FRgbr,19981020,0-1,-1,,
UEFAcup,16f,FRgbr,NLvit,19981103,2-1,2,,
UEFAcup,4f,FRgbr,ITprm,19990302,2-1,-1,,
UEFAcup,4f,ITprm,FRgbr,19990316,6-0,2,,
UEFAcup,4f,ESamd,ITasr,19990302,2-1,-1,,
UEFAcup,4f,ITasr,ESamd,19990316,1-2,1,,
UEFAcup,4f,ITblg,FRoly,19990302,3-0,-1,,
UEFAcup,4f,FRoly,ITblg,19990316,2-0,1,,
UEFAcup,4f,FRomr,EScdv,19990302,2-1,-1,,
UEFAcup,4f,EScdv,FRomr,19990316,0-0,1,,
UEFAcup,2f,ESamd,ITprm,19990406,1-3,-1,,
UEFAcup,2f,ITprm,ESamd,19990420,2-1,2,,
UEFAcup,2f,FRomr,ITblg,19990406,0-0,-1,,
UEFAcup,2f,ITblg,FRomr,19990420,1-1,1,,
UEFAcup,f,ITprm,FRomr,19990512,3-0,1,Moskou (Luzhniki Stadium),
