league,round,team1,team2,dd,result,star,stadium
supercup,,ESrmd,ESamd,20180815,2-4,2,
CL,v2,NLajx,ATstg,20180725,2-0,-1,
CL,v2,ATstg,NLajx,20180801,1-3,1,
CL,v3,BEslk,NLajx,20180807,2-2,-1,
CL,v3,NLajx,BEslk,20180814,3-0,2,
CL,po,BYbtb,NLpsv,20180821,2-3,-1,
CL,po,NLpsv,BYbtb,20180829,3-0,2,
CL,po,NLajx,UAdkv,20180822,3-1,-1,
CL,po,UAdkv,NLajx,20180828,0-0,1,
CL,gB,ITiml,G1ttt,20180918,2-1,,
CL,gB,ESbcl,NLpsv,20180918,4-0,,
CL,gB,NLpsv,ITiml,20181003,1-2,,
CL,gB,G1ttt,ESbcl,20181003,2-4,,
CL,gB,NLpsv,G1ttt,20181024,2-2,,
CL,gB,ESbcl,ITiml,20181024,2-0,,
CL,gB,ITiml,ESbcl,20181106,1-1,,
CL,gB,G1ttt,NLpsv,20181106,2-1,,
CL,gB,NLpsv,ESbcl,20181128,1-2,,
CL,gB,G1ttt,ITiml,20181128,1-0,,
CL,gB,ITiml,NLpsv,20181211,1-1,,
CL,gB,ESbcl,G1ttt,20181211,1-1,,
CL,gE,NLajx,GRaek,20180919,3-0,,
CL,gE,PTbnf,DEbmn,20180919,0-2,,
CL,gE,GRaek,PTbnf,20181002,2-3,,
CL,gE,DEbmn,NLajx,20181002,1-1,,
CL,gE,GRaek,DEbmn,20181023,0-2,,
CL,gE,NLajx,PTbnf,20181023,1-0,,
CL,gE,PTbnf,NLajx,20181107,1-1,,
CL,gE,DEbmn,GRaek,20181107,2-0,,
CL,gE,GRaek,NLajx,20181127,0-2,,
CL,gE,DEbmn,PTbnf,20181127,5-1,,
CL,gE,PTbnf,GRaek,20181212,1-0,,
CL,gE,NLajx,DEbmn,20181212,3-3,,
CL,8f,G1mnu,FRpsg,20190212,0-2,-1,
CL,8f,FRpsg,G1mnu,20190306,1-3,1,
CL,8f,ITasr,PTpor,20190202,2-1,-1,
CL,8f,PTpor,ITasr,20190306,3-1,4,
CL,8f,NLajx,ESrmd,20190213,1-2,-1,
CL,8f,ESrmd,NLajx,20190305,1-4,1,
CL,8f,G1ttt,DEbdm,20190213,3-0,-1,
CL,8f,DEbdm,G1ttt,20190305,0-1,1,
CL,8f,G1lvp,DEbmn,20190219,0-0,-1,
CL,8f,DEbmn,G1lvp,20190313,1-3,1,
CL,8f,FRoly,ESbcl,20190219,0-0,-1,
CL,8f,ESbcl,FRoly,20190313,5-1,2,
CL,8f,ESamd,ITjuv,20190220,2-0,-1,
CL,8f,ITjuv,ESamd,20190312,3-0,2,
CL,8f,DEs04,G1mnc,20190220,2-3,-1,
CL,8f,G1mnc,DEs04,20190312,7-0,2,
CL,4f,G1ttt,G1mnc,20190409,1-0,-1,
CL,4f,G1mnc,G1ttt,20190417,4-3,1,
CL,4f,NLajx,ITjuv,20190410,1-1,-1,
CL,4f,ITjuv,NLajx,20190416,1-2,1,
CL,4f,G1mnu,ESbcl,20190410,0-1,-1,
CL,4f,ESbcl,G1mnu,20190416,3-0,2,
CL,4f,G1lvp,PTpor,20190409,2-0,-1,
CL,4f,PTpor,G1lvp,20190417,1-4,1,
CL,2f,G1ttt,NLajx,20190430,0-1,-1,
CL,2f,NLajx,G1ttt,20190508,2-3,1,
CL,2f,ESbcl,G1lvp,20190501,3-0,-1,
CL,2f,G1lvp,ESbcl,20190507,4-0,2,
CL,f,G1ttt,G1lvp,20190601,0-2,2,Madrid
EL,v2,ROvtr,NLvit,20180726,2-2,-1,
EL,v2,NLvit,ROvtr,20180802,3-1,2,
EL,v2,KZkal,NLaz1,20180726,2-0,-1,
EL,v2,NLaz1,KZkal,20180802,2-1,1,
EL,v3,NLvit,CHbsl,20180809,0-1,-1,
EL,v3,CHbsl,NLvit,20180816,1-1,2,
EL,v3,SKtrc,NLfyn,20180809,4-0,-1,
EL,v3,NLfyn,SKtrc,20180816,1-1,1,
EL,4f,G1ars,ITnpl,20190411,2-0,-1,
EL,4f,ITnpl,G1ars,20190418,0-1,1,
EL,4f,ESvlr,ESval,20190411,1-3,-1,
EL,4f,ESval,ESvlr,20190418,2-0,2,
EL,4f,PTbnf,DEefr,20190411,4-2,-1,
EL,4f,DEefr,PTbnf,20190418,2-0,2,
EL,4f,CZslp,G1cls,20190411,0-1,-1,
EL,4f,G1cls,CZslp,20190418,4-3,2,
EL,2f,G1ars,ESval,20190502,3-1,-1,
EL,2f,ESval,G1ars,20190509,2-4,1,
EL,2f,DEefr,G1cls,20190502,1-1,-1,
EL,2f,G1cls,DEefr,20190509,1-1,2,
EL,f,G1cls,G1ars,20190529,4-1,1,Bakoe
