league,round,team1,team2,dd,result,star,stadium,remark
CL,v3,NLajx,GRpks,20100728,1-1,-1,,
CL,v3,GRpks,NLajx,20100804,3-3,1,,
CL,po,UAdkv,NLajx,20100817,1-1,-1,,
CL,po,NLajx,UAdkv,20100825,2-1,2,,
CL,gA,NLtwn,ITiml,20100914,2-2,,,Prachtig debuut van FC Twente in de Champions League!
CL,gA,DEwbr,G1ttt,20100914,2-2,,,
CL,gA,G1ttt,NLtwn,20100929,4-1,,,
CL,gA,ITiml,DEwbr,20100929,4-0,,,
CL,gA,NLtwn,DEwbr,20101020,1-1,,,
CL,gA,ITiml,G1ttt,20101020,4-3,,,
CL,gA,DEwbr,NLtwn,20101102,0-2,,,
CL,gA,G1ttt,ITiml,20101102,3-1,,,
CL,gA,ITiml,NLtwn,20101124,1-0,,,
CL,gA,G1ttt,DEwbr,20101124,3-0,,,
CL,gA,NLtwn,G1ttt,20101207,3-3,,,
CL,gA,DEwbr,ITiml,20101207,3-0,,,
CL,gG,ESrmd,NLajx,20100915,2-0,,,
CL,gG,ITmln,FRaux,20100915,2-0,,,
CL,gG,NLajx,ITmln,20100928,1-1,,,
CL,gG,FRaux,ESrmd,20100928,0-1,,,
CL,gG,NLajx,FRaux,20101019,2-1,,,
CL,gG,ESrmd,ITmln,20101019,2-0,,,
CL,gG,FRaux,NLajx,20101103,2-1,,,
CL,gG,ITmln,ESrmd,20101103,2-2,,,
CL,gG,NLajx,ESrmd,20101123,0-4,,,
CL,gG,FRaux,ITmln,20101123,0-2,,,
CL,gG,ITmln,NLajx,20101208,0-2,,,Debuut Frank de Boer als coach Ajax
CL,gG,ESrmd,FRaux,20101208,4-0,,,
CL,8f,ITmln,G1ttt,20110215,0-1,-1,,
CL,8f,G1ttt,ITmln,20110309,0-0,2,,
CL,8f,ESval,DEs04,20110215,1-1,-1,,
CL,8f,DEs04,ESval,20110309,3-1,2,,
CL,8f,ITasr,UAsdk,20110216,2-3,-1,,
CL,8f,UAsdk,ITasr,20110308,3-0,2,,
CL,8f,G1ars,ESbcl,20110216,2-1,-1,,
CL,8f,ESbcl,G1ars,20110308,3-1,2,,
CL,8f,FRoly,ESrmd,20110222,1-1,-1,,
CL,8f,ESrmd,FRoly,20110316,3-0,2,,
CL,8f,DKfkp,G1cls,20110222,0-2,-1,,
CL,8f,G1cls,DKfkp,20110316,0-0,2,,
CL,8f,ITiml,DEbmn,20110223,0-1,-1,,
CL,8f,DEbmn,ITiml,20110315,2-3,1,,
CL,8f,FRomr,G1mnu,20110223,0-0,-1,,
CL,8f,G1mnu,FRomr,20110315,2-1,2,,
CL,4f,ITiml,DEs04,20110405,2-5,-1,,
CL,4f,DEs04,ITiml,20110413,2-1,2,,
CL,4f,G1cls,G1mnu,20110406,0-1,-1,,
CL,4f,G1mnu,G1cls,20110412,2-1,2,,
CL,4f,ESrmd,G1ttt,20110405,4-0,-1,,
CL,4f,G1ttt,ESrmd,20110413,0-1,1,,
CL,4f,ESbcl,UAsdk,20110406,5-1,-1,,
CL,4f,UAsdk,ESbcl,20110412,0-1,1,,
CL,2f,DEs04,G1mnu,20110426,0-2,-1,,
CL,2f,G1mnu,DEs04,20110504,4-1,2,,
CL,2f,ESrmd,ESbcl,20110427,0-2,-1,,
CL,2f,ESbcl,ESrmd,20110503,1-1,2,,
CL,f,ESbcl,G1mnu,20110528,3-1,1,Londen (Wembly),
EL,v2,NLutr,ALtrn,20100715,4-0,-1,,
EL,v2,ALtrn,NLutr,20100722,1-1,1,,
EL,v3,NLaz1,SEifk,20100729,2-0,-1,,
EL,v3,SEifk,NLaz1,20100805,1-0,1,,
EL,v3,NLutr,CHlzr,20100729,1-0,-1,,
EL,v3,CHlzr,NLutr,20100805,1-3,1,,
EL,po,RUnvs,NLpsv,20100819,1-0,-1,,
EL,po,NLpsv,RUnvs,20100826,5-0,2,,
EL,po,NLfyn,BEaag,20100819,1-0,-1,,
EL,po,BEaag,NLfyn,20100826,2-0,2,,
EL,po,G2clt,NLutr,20100819,2-0,-1,,
EL,po,NLutr,G2clt,20100826,4-0,2,,
EL,po,NLaz1,KZakt,20100819,2-0,-1,,
EL,po,KZakt,NLaz1,20100826,2-1,1,,
EL,gE,NLaz1,MDshf,20100916,2-1,,,
EL,gE,UAdkv,BYbtb,20100916,2-2,,,
EL,gE,BYbtb,NLaz1,20100930,4-1,,,
EL,gE,MDshf,UAdkv,20100930,2-0,,,
EL,gE,NLaz1,UAdkv,20101021,1-2,,,
EL,gE,MDshf,BYbtb,20101021,0-1,,,
EL,gE,UAdkv,NLaz1,20101104,2-0,,,
EL,gE,BYbtb,MDshf,20101104,3-1,,,
EL,gE,MDshf,NLaz1,20101202,1-1,,,
EL,gE,BYbtb,UAdkv,20101202,1-4,,,
EL,gE,NLaz1,BYbtb,20101215,3-0,,,
EL,gE,UAdkv,MDshf,20101215,0-0,,,
EL,gI,NLpsv,ITsdr,20100916,1-1,,,
EL,gI,HUdbr,UAmkh,20100916,0-5,,,
EL,gI,UAmkh,NLpsv,20100916,0-2,,,
EL,gI,ITsdr,HUdbr,20100916,1-0,,,
EL,gI,HUdbr,NLpsv,20100916,1-2,,,
EL,gI,UAmkh,ITsdr,20100916,2-1,,,
EL,gI,ITsdr,UAmkh,20101104,0-0,,,
EL,gI,NLpsv,HUdbr,20101104,3-0,,,
EL,gI,UAmkh,HUdbr,20101201,2-1,,,
EL,gI,ITsdr,NLpsv,20101201,1-2,,,
EL,gI,HUdbr,ITsdr,20101216,2-0,,,
EL,gI,NLpsv,UAmkh,20101216,0-0,,,
EL,gK,ITnpl,NLutr,20100916,0-0,,,
EL,gK,G1lvp,ROstb,20100916,4-1,,,
EL,gK,ROstb,ITnpl,20100930,3-3,,,
EL,gK,NLutr,G1lvp,20100930,0-0,,,
EL,gK,NLutr,ROstb,20101021,1-1,,,
EL,gK,ITnpl,G1lvp,20101021,0-0,,,
EL,gK,ROstb,NLutr,20101104,3-1,,,
EL,gK,G1lvp,ITnpl,20101104,3-1,,,
