league,round,team1,team2,dd,result,star,stadium
supercup,,ESrmd,ESsvl,20160809,3-2,3,Trondheim
CL,v3,NLajx,GRpks,20160726,1-1,-1,
CL,v3,GRpks,NLajx,20160803,1-2,1,
CL,po,NLajx,RUros,20160816,1-1,-1,
CL,po,RUros,NLajx,20160824,4-1,2,
CL,gD,NLpsv,ESamd,20160913,0-1,,
CL,gD,DEbmn,RUros,20160913,5-0,,
CL,gD,ESamd,DEbmn,20160928,1-0,,
CL,gD,RUros,NLpsv,20160928,2-2,,
CL,gD,DEbmn,NLpsv,20161019,4-1,,
CL,gD,RUros,ESamd,20161019,0-1,,
CL,gD,NLpsv,DEbmn,20161101,1-2,,
CL,gD,ESamd,RUros,20161101,2-1,,
CL,gD,RUros,DEbmn,20161123,3-2,,
CL,gD,ESamd,NLpsv,20161123,2-0,,
CL,gD,NLpsv,RUros,20161206,0-0,,
CL,gD,DEbmn,ESamd,20161206,1-0,,
CL,4f,ITjuv,ESbcl,20170411,3-0,-1,
CL,4f,ESbcl,ITjuv,20170419,0-0,1,
CL,4f,DEbdm,FRmnc,20170412,2-3,-1,
CL,4f,FRmnc,DEbdm,20170419,3-1,2,
CL,4f,DEbmn,ESrmd,20170412,1-2,-1,
CL,4f,ESrmd,DEbmn,20170418,4-2,2,
CL,4f,ESamd,G1lcc,20170412,1-0,-1,
CL,4f,G1lcc,ESamd,20170418,1-1,1,
CL,2f,FRmnc,ITjuv,20170503,0-2,-1,
CL,2f,ITjuv,FRmnc,20170509,2-1,2,
CL,2f,ESrmd,ESamd,20170502,3-0,-1,
CL,2f,ESamd,ESrmd,20170510,2-1,1,
CL,f,ITjuv,ESrmd,20170603,1-4,2,Cardiff
EL,v3,NLhrc,PTarc,20160728,1-1,-1,
EL,v3,PTarc,NLhrc,20160804,0-0,2,
EL,v3,NLaz1,GRpsg,20160728,1-0,-1,
EL,v3,GRpsg,NLaz1,20160804,1-2,1,
EL,po,RSvns,NLaz1,20160818,0-3,-1,
EL,po,NLaz1,RSvns,20160825,0-0,2,
EL,gA,NLfyn,G1mnu,20160915,1-0,,
EL,gA,UAzlg,TRfen,20160915,1-1,,
EL,gA,TRfen,NLfyn,20160929,1-0,,
EL,gA,G1mnu,UAzlg,20160929,1-0,,
EL,gA,NLfyn,UAzlg,20161020,1-0,,
EL,gA,G1mnu,TRfen,20161020,4-1,,
EL,gA,TRfen,G1mnu,20161103,2-1,,
EL,gA,UAzlg,NLfyn,20161103,1-1,,
EL,gA,TRfen,UAzlg,20161124,2-0,,
EL,gA,G1mnu,NLfyn,20161124,4-0,,
EL,gA,UAzlg,G1mnu,20161208,0-2,,
EL,gA,NLfyn,TRfen,20161208,0-1,,
EL,gD,NLaz1,IEdnd,20160915,1-1,,
EL,gD,ILmta,RUzsp,20160915,3-4,,
EL,gD,IEdnd,ILmta,20160929,1-0,,
EL,gD,RUzsp,NLaz1,20160929,5-0,,
EL,gD,NLaz1,ILmta,20161020,1-2,,
EL,gD,IEdnd,RUzsp,20161020,1-2,,
EL,gD,ILmta,NLaz1,20161103,0-0,,
EL,gD,RUzsp,IEdnd,20161103,2-1,,
EL,gD,RUzsp,ILmta,20161124,2-0,,
EL,gD,IEdnd,NLaz1,20161124,0-1,,
EL,gD,ILmta,IEdnd,20161208,2-1,,
EL,gD,NLaz1,RUzsp,20161208,3-2,,
EL,gG,BEslk,EScdv,20160915,1-1,,
EL,gG,GRpnt,NLajx,20160915,1-2,,
EL,gG,NLajx,BEslk,20160929,1-0,,
EL,gG,EScdv,GRpnt,20160929,2-0,,
EL,gG,BEslk,GRpnt,20161020,2-2,,
EL,gG,EScdv,NLajx,20161020,2-2,,
EL,gG,NLajx,EScdv,20161103,3-2,,
EL,gG,GRpnt,BEslk,20161103,0-3,,
EL,gG,NLajx,GRpnt,20161124,2-0,,
EL,gG,EScdv,BEslk,20161124,1-1,,
EL,gG,GRpnt,EScdv,20161208,0-2,,
EL,gG,BEslk,NLajx,20161208,1-1,,
EL,16f,DKfkp,NLajx,20170309,2-1,-1,
EL,16f,NLajx,DKfkp,20170316,2-0,2,
EL,4f,NLajx,DEs04,20170413,2-0,-1,
EL,4f,DEs04,NLajx,20170420,3-2,3,
EL,4f,FRoly,TRbsk,20170413,2-1,-1,
EL,4f,TRbsk,FRoly,20170420,2-1,5,
EL,4f,EScdv,BErgk,20170413,3-2,-1,
EL,4f,BErgk,EScdv,20170420,1-1,1,
EL,4f,BEand,G1mnu,20170413,0-1,-1,
EL,4f,G1mnu,BEand,20170420,2-1,4,
EL,2f,NLajx,FRoly,20170503,4-1,-1,
EL,2f,FRoly,NLajx,20170511,3-1,1,
EL,2f,EScdv,G1mnu,20170504,0-1,-1,
EL,2f,G1mnu,EScdv,20170511,1-1,2,
EL,f,NLajx,G1mnu,20170524,0-2,2,Stockholm
