league,round,team1,team2,dd,result,star,stadium,remark
supercup,,ESbcl,UAsdk,20090828,1-0,5,,
CL,v3,PTspp,NLtwn,20090729,0-0,-1,,
CL,v3,NLtwn,PTspp,20090804,1-1,1,,
CL,gH,GRolp,NLaz1,20090916,1-0,,,
CL,gH,BEslk,G1ars,20090916,2-3,,,
CL,gH,NLaz1,BEslk,20090929,1-1,,,
CL,gH,G1ars,GRolp,20090929,2-0,,,
CL,gH,NLaz1,G1ars,20091020,1-1,,,
CL,gH,GRolp,BEslk,20091020,2-1,,,
CL,gH,BEslk,GRolp,20091104,2-0,,,
CL,gH,G1ars,NLaz1,20091104,4-1,,,
CL,gH,NLaz1,GRolp,20091124,0-0,,,
CL,gH,G1ars,BEslk,20091124,2-0,,,
CL,gH,BEslk,NLaz1,20091209,1-1,,,AZ verlengt abonnement op late tegentreffers
CL,gH,GRolp,G1ars,20091209,1-0,,,
CL,8f,FRoly,ESrmd,20100216,1-0,-1,,
CL,8f,ESrmd,FRoly,20100310,1-1,1,,
CL,8f,ITmln,G1mnu,20100216,2-3,-1,,
CL,8f,G1mnu,ITmln,20100310,4-0,2,,
CL,8f,DEbmn,ITfrt,20100217,2-1,-1,,
CL,8f,ITfrt,DEbmn,20100309,3-2,1,,
CL,8f,PTpor,G1ars,20100217,2-1,-1,,
CL,8f,G1ars,PTpor,20100309,5-0,2,,
CL,8f,GRolp,FRgbr,20100223,0-1,-1,,
CL,8f,FRgbr,GRolp,20100317,2-1,2,,
CL,8f,DEvfs,ESbcl,20100223,1-1,-1,,
CL,8f,ESbcl,DEvfs,20100317,4-0,2,,
CL,8f,RUcmk,ESsvl,20100224,1-1,-1,,
CL,8f,ESsvl,RUcmk,20100316,1-2,1,,
CL,8f,ITiml,G1cls,20100224,2-1,-1,,
CL,8f,G1cls,ITiml,20100316,0-1,1,,
CL,4f,DEbmn,G1mnu,20100330,2-1,-1,,
CL,4f,G1mnu,DEbmn,20100407,3-2,1,,
CL,4f,FRoly,FRgbr,20100330,3-1,-1,,
CL,4f,FRgbr,FRoly,20100407,1-0,1,,
CL,4f,ITiml,RUcmk,20100331,1-0,-1,,
CL,4f,RUcmk,ITiml,20100406,0-1,1,,
CL,4f,G1ars,ESbcl,20100331,2-2,-1,,
CL,4f,ESbcl,G1ars,20100406,4-1,2,,
CL,2f,DEbmn,FRoly,20100421,1-0,-1,,
CL,2f,FRoly,DEbmn,20100427,0-3,1,,
CL,2f,ITiml,ESbcl,20100420,3-1,-1,,
CL,2f,ESbcl,ITiml,20100428,1-0,1,,
CL,f,ITiml,DEbmn,20100522,2-0,1,Santiago Bernabeu; Madrid,Beide (mooie) goals in de finale van de Argentijn Diego Milito
EL,v2,NLnac,AMkpn,20090716,6-0,-1,,
