league,round,team1,team2,dd,result,star,stadium,remark
supercup,,G1lvp,RUcmk,20050826,3-1,1,,
CL,v3,DKbrn,NLajx,20050810,2-2,-1,,
CL,v3,NLajx,DKbrn,20050824,3-1,2,,
CL,gB,CZspr,NLajx,20050914,1-1,,,
CL,gB,G1ars,CHthn,20050914,2-1,,,
CL,gB,NLajx,G1ars,20050927,1-2,,,
CL,gB,CHthn,CZspr,20050927,1-0,,,
CL,gB,NLajx,CHthn,20051018,2-0,,,
CL,gB,CZspr,G1ars,20051018,0-2,,,
CL,gB,CHthn,NLajx,20051102,2-4,,,
CL,gB,G1ars,CZspr,20051102,3-0,,,
CL,gB,NLajx,CZspr,20051122,2-1,,,
CL,gB,CHthn,G1ars,20051122,0-1,,,
CL,gB,G1ars,NLajx,20051207,0-0,,,
CL,gB,CZspr,CHthn,20051207,0-0,,,
CL,gE,NLpsv,DEs04,20050913,1-0,,,
CL,gE,ITmln,TRfen,20050913,3-1,,,
CL,gE,TRfen,NLpsv,20050928,3-0,,,
CL,gE,DEs04,ITmln,20050928,2-2,,,
CL,gE,ITmln,NLpsv,20051019,0-0,,,
CL,gE,TRfen,DEs04,20051019,3-3,,,
CL,gE,NLpsv,ITmln,20051101,1-0,,,
CL,gE,DEs04,TRfen,20051101,2-0,,,
CL,gE,DEs04,NLpsv,20051123,3-0,,,
CL,gE,TRfen,ITmln,20051123,0-4,,,
CL,gE,NLpsv,TRfen,20051206,2-0,,,
CL,gE,ITmln,DEs04,20051206,3-2,,,
CL,8f,NLpsv,FRoly,20060221,0-1,-1,,
CL,8f,FRoly,NLpsv,20060308,4-0,2,,
CL,8f,DEbmn,ITmln,20060221,1-1,-1,,
CL,8f,ITmln,DEbmn,20060308,4-1,2,,
CL,8f,PTbnf,G1lvp,20060221,1-0,-1,,
CL,8f,G1lvp,PTbnf,20060308,0-2,1,,
CL,8f,ESrmd,G1ars,20060221,0-1,-1,,
CL,8f,G1ars,ESrmd,20060308,0-0,2,,
CL,8f,NLajx,ITiml,20060222,2-2,-1,,
CL,8f,ITiml,NLajx,20060314,1-0,2,,
CL,8f,G1cls,ESbcl,20060222,1-2,-1,,
CL,8f,ESbcl,G1cls,20060307,1-1,2,,
CL,8f,DEwbr,ITjuv,20060222,3-2,-1,,
CL,8f,ITjuv,DEwbr,20060307,2-1,2,,
