league,round,team1,team2,dd,result,star,stadium
CL,gA,FRaux,NLajx,19960911,0-1,,
CL,gA,CHgrs,G2glr,19960911,3-0,,
CL,gA,NLajx,CHgrs,19960925,0-1,,
CL,gA,G2glr,FRaux,19960925,1-2,,
CL,gA,NLajx,G2glr,19961016,4-1,,
CL,gA,FRaux,CHgrs,19961016,1-0,,
CL,gA,G2glr,NLajx,19961030,0-1,,
CL,gA,CHgrs,FRaux,19961030,3-1,,
CL,gA,NLajx,FRaux,19961120,1-2,,
CL,gA,G2glr,CHgrs,19961120,2-1,,
CL,gA,CHgrs,NLajx,19961204,0-1,,
CL,gA,FRaux,G2glr,19961204,2-1,,
CL,4f,NOros,ITjuv,19970305,1-1,-1,
CL,4f,ITjuv,NOros,19970319,2-0,2,
CL,4f,NLajx,ESamd,19970305,1-1,-1,
CL,4f,ESamd,NLajx,19970319,2-3,3,
CL,4f,G1mnu,PTpor,19970305,4-0,-1,
CL,4f,PTpor,G1mnu,19970319,0-0,1,
CL,4f,DEbdm,FRaux,19970305,2-1,-1,
CL,4f,FRaux,DEbdm,19970319,0-1,1,
CL,2f,NLajx,ITjuv,19970409,1-2,-1,
CL,2f,ITjuv,NLajx,19970423,4-1,2,
CL,2f,DEbdm,G1mnu,19970409,1-0,-1,
CL,2f,G1mnu,DEbdm,19970423,0-1,1,
CL,f,ITjuv,DEbdm,19970528,1-3,2,M&uuml;nchen (Olympiapark)
EC2,round1,GEdbt,NLpsv,19960912,1-1,-1,
EC2,round1,NLpsv,GEdbt,19960926,3-0,2,
EC2,16f,NObbr,NLpsv,19961017,2-1,-1,
EC2,16f,NLpsv,NObbr,19961031,2-2,1,
EC2,4f,PTbnf,ITfrt,19970306,0-2,-1,
EC2,4f,ITfrt,PTbnf,19970320,0-0,2,
EC2,4f,ESbcl,SEaik,19970306,3-1,-1,
EC2,4f,SEaik,ESbcl,19970320,1-1,1,
EC2,4f,NObbr,G1lvp,19970306,1-1,-1,
EC2,4f,G1lvp,NObbr,19970320,3-0,2,
EC2,4f,FRpsg,GRaek,19970306,0-0,-1,
EC2,4f,GRaek,FRpsg,19970320,0-3,1,
EC2,2f,ESbcl,ITfrt,19970410,1-1,-1,
EC2,2f,ITfrt,ESbcl,19970424,0-2,1,
EC2,2f,FRpsg,G1lvp,19970410,3-0,-1,
EC2,2f,G1lvp,FRpsg,19970424,2-0,1,
EC2,f,ESbcl,FRpsg,19970512,1-0,1,Rotterdam (de Kuip)
UEFAcup,round1,RUcmk,NLfyn,19960910,0-1,-1,
UEFAcup,round1,NLfyn,RUcmk,19960924,1-1,2,
UEFAcup,round1,DEs04,NLrdj,19960910,3-0,-1,
UEFAcup,round1,NLrdj,DEs04,19960924,2-2,1,
UEFAcup,16f,ESesp,NLfyn,19961015,0-3,-1,
UEFAcup,16f,NLfyn,ESesp,19961029,0-1,2,
UEFAcup,round3,EStnr,NLfyn,19961119,0-0,-1,
UEFAcup,round3,NLfyn,EStnr,19961203,2-4,1,
UEFAcup,4f,G1nwc,FRmnc,19970304,0-1,-1,
UEFAcup,4f,FRmnc,G1nwc,19970318,3-0,2,
UEFAcup,4f,BEand,ITiml,19970304,1-1,-1,
UEFAcup,4f,ITiml,BEand,19970318,2-1,2,
UEFAcup,4f,DEs04,ESval,19970304,2-0,-1,
UEFAcup,4f,ESval,DEs04,19970318,1-1,1,
UEFAcup,4f,EStnr,DKbrn,19970304,0-1,-1,
UEFAcup,4f,DKbrn,EStnr,19970318,0-2,1,
UEFAcup,2f,ITiml,FRmnc,19970408,3-1,-1,
UEFAcup,2f,FRmnc,ITiml,19970422,1-0,1,
UEFAcup,2f,EStnr,DEs04,19970408,1-0,-1,
UEFAcup,2f,DEs04,EStnr,19970422,2-0,4,
UEFAcup,f,DEs04,ITiml,19970507,1-0,-1,
UEFAcup,f,ITiml,DEs04,19970521,1-0,5,
