league,round,team1,team2,dd,result,star,stadium,remark
CL,v3,ATstg,NLfyn,20000808,2-1,-1,,
CL,v3,NLfyn,ATstg,20000823,1-1,1,,
CL,gC,FRoly,NLhrv,20000912,3-1,,,
CL,gC,ESval,GRolp,20000912,2-1,,,
CL,gC,NLhrv,ESval,20000920,0-1,,,
CL,gC,GRolp,FRoly,20000920,2-1,,,
CL,gC,GRolp,NLhrv,20000927,2-0,,,
CL,gC,ESval,FRoly,20000927,1-0,,,
CL,gC,NLhrv,GRolp,20001017,1-0,,,
CL,gC,FRoly,ESval,20001017,1-2,,,
CL,gC,NLhrv,FRoly,20001025,0-2,,,
CL,gC,GRolp,ESval,20001025,1-0,,,
CL,gC,FRoly,GRolp,20001107,1-0,,,
CL,gC,ESval,NLhrv,20001107,1-1,,,
CL,gG,NLpsv,UAdkv,20000913,2-1,,,
CL,gG,G1mnu,BEand,20000913,5-1,,,
CL,gG,BEand,NLpsv,20000919,1-0,,,
CL,gG,UAdkv,G1mnu,20000919,0-0,,,
CL,gG,NLpsv,G1mnu,20000926,3-1,,,
CL,gG,UAdkv,BEand,20000926,4-0,,,
CL,gG,G1mnu,NLpsv,20001018,3-1,,,
CL,gG,BEand,UAdkv,20001018,4-2,,,
CL,gG,UAdkv,NLpsv,20001024,0-1,,,
CL,gG,BEand,G1mnu,20001024,2-1,,,
CL,gG,G1mnu,UAdkv,20001108,1-0,,,
CL,gG,NLpsv,BEand,20001108,2-3,,,
CL,4f,G1lds,ESdlc,20010404,3-0,-1,,
CL,4f,ESdlc,G1lds,20010417,2-0,1,,
CL,4f,G1ars,ESval,20010404,2-1,-1,,
CL,4f,ESval,G1ars,20010417,1-0,2,,
CL,4f,TRglt,ESrmd,20010403,3-2,-1,,
CL,4f,ESrmd,TRglt,20010418,3-0,2,,
CL,4f,G1mnu,DEbmn,20010403,0-1,-1,,
CL,4f,DEbmn,G1mnu,20010418,2-1,2,,
CL,2f,G1lds,ESval,20010502,0-0,-1,,
CL,2f,ESval,G1lds,20010508,3-0,2,,
CL,2f,ESrmd,DEbmn,20010501,0-1,-1,,
CL,2f,DEbmn,ESrmd,20010509,2-1,2,,
CL,f,DEbmn,ESval,20010523,0-0,5,Milaan,
UEFAcup,round1,BEaag,NLajx,20000912,0-6,-1,,
UEFAcup,round1,NLajx,BEaag,20000928,3-0,2,,
UEFAcup,round1,NLrdj,SKibr,20000914,0-2,-1,,
UEFAcup,round1,SKibr,NLrdj,20000926,2-1,2,,
UEFAcup,round1,NLvit,ILmhf,20000914,3-0,-1,,
UEFAcup,round1,ILmhf,NLvit,20000928,2-1,1,,
UEFAcup,round1,HUdnf,NLfyn,20000914,0-1,-1,,
UEFAcup,round1,NLfyn,HUdnf,20000928,3-1,2,,
UEFAcup,16f,ITiml,NLvit,20001026,0-0,-1,,
UEFAcup,16f,NLvit,ITiml,20001109,1-1,1,,
UEFAcup,16f,CHlsp,NLajx,20001026,1-0,-1,,
UEFAcup,16f,NLajx,CHlsp,20001109,2-2,1,,
UEFAcup,16f,CHbsl,NLfyn,20001026,1-2,-1,,
UEFAcup,16f,NLfyn,CHbsl,20001109,1-0,2,,
UEFAcup,round3,NLfyn,DEvfs,20001123,2-2,-1,,
UEFAcup,round3,DEvfs,NLfyn,20001205,2-1,2,,
UEFAcup,round3,NLpsv,GRpks,20001123,3-0,-1,,
UEFAcup,round3,GRpks,NLpsv,20001207,0-1,1,,
UEFAcup,8f,NLpsv,ITprm,20010215,2-1,-1,,
UEFAcup,8f,ITprm,NLpsv,20010222,3-2,1,,
UEFAcup,4f,ESbcl,EScdv,20010308,2-1,-1,,
UEFAcup,4f,EScdv,ESbcl,20010315,3-2,1,,
UEFAcup,4f,PTpor,G1lvp,20010308,0-0,-1,,
UEFAcup,4f,G1lvp,PTpor,20010315,2-0,2,,
UEFAcup,4f,ESalv,ESrvl,20010308,3-0,-1,,
UEFAcup,4f,ESrvl,ESalv,20010315,2-1,1,,
UEFAcup,4f,DEksl,NLpsv,20010308,1-0,-1,,
UEFAcup,4f,NLpsv,DEksl,20010315,0-1,1,,
UEFAcup,2f,ESbcl,G1lvp,20010405,0-0,-1,,
UEFAcup,2f,G1lvp,ESbcl,20010419,1-0,2,,
UEFAcup,2f,ESalv,DEksl,20010405,5-1,-1,,
UEFAcup,2f,DEksl,ESalv,20010419,1-4,1,,
UEFAcup,f,G1lvp,ESalv,20010516,5-4,3,Dortmund,Liverpool wint na Golden Goal
