league,round,team1,team2,dd,result,star,stadium
supercup,,ESrmd,NLfyn,20020829,3-1,1,Monaco
CL,v3,NLfyn,TRfen,20020813,1-0,-1,
CL,v3,TRfen,NLfyn,20020827,0-2,1,
CL,gA,FRaux,NLpsv,20020917,0-0,,
CL,gA,G1ars,DEbdm,20020917,2-0,,
CL,gA,DEbdm,FRaux,20020925,2-1,,
CL,gA,NLpsv,G1ars,20020925,0-4,,
CL,gA,NLpsv,DEbdm,20021002,1-3,,
CL,gA,FRaux,G1ars,20021002,0-1,,
CL,gA,DEbdm,NLpsv,20021022,1-1,,
CL,gA,G1ars,FRaux,20021022,1-2,,
CL,gA,NLpsv,FRaux,20021030,3-0,,
CL,gA,DEbdm,G1ars,20021030,2-1,,
CL,gA,FRaux,DEbdm,20021112,1-0,,
CL,gA,G1ars,NLpsv,20021112,0-0,,
CL,gD,NOros,ITiml,20020917,2-2,,
CL,gD,NLajx,FRoly,20020917,2-1,,
CL,gD,FRoly,NOros,20020925,5-0,,
CL,gD,ITiml,NLajx,20020925,1-0,,
CL,gD,ITiml,FRoly,20021002,1-2,,
CL,gD,NOros,NLajx,20021002,0-0,,
CL,gD,FRoly,ITiml,20021022,3-3,,
CL,gD,NLajx,NOros,20021022,1-1,,
CL,gD,ITiml,NOros,20021030,3-0,,
CL,gD,FRoly,NLajx,20021030,0-2,,
CL,gD,NOros,FRoly,20021112,1-1,,
CL,gD,NLajx,ITiml,20021112,1-2,,
CL,gE,NLfyn,ITjuv,20020918,1-1,,
CL,gE,UAdkv,G1nwc,20020918,2-0,,
CL,gE,G1nwc,NLfyn,20020924,0-1,,
CL,gE,ITjuv,UAdkv,20020924,5-0,,
CL,gE,ITjuv,G1nwc,20021001,2-0,,
CL,gE,NLfyn,UAdkv,20021001,0-0,,
CL,gE,G1nwc,ITjuv,20021023,1-0,,
CL,gE,UAdkv,NLfyn,20021023,2-0,,
CL,gE,ITjuv,NLfyn,20021029,2-0,,
CL,gE,G1nwc,UAdkv,20021029,2-1,,
CL,gE,NLfyn,G1nwc,20021113,2-3,,
CL,gE,UAdkv,ITjuv,20021113,1-2,,
CL,group2B,ESval,NLajx,20021127,1-1,,
CL,group2B,ITasr,G1ars,20021127,1-3,,
CL,group2B,NLajx,ITasr,20021210,2-1,,
CL,group2B,G1ars,ESval,20021210,0-0,,
CL,group2B,G1ars,NLajx,20030218,1-1,,
CL,group2B,ITasr,ESval,20030218,0-1,,
CL,group2B,NLajx,G1ars,20030226,0-0,,
CL,group2B,ESval,ITasr,20030226,0-3,,
CL,group2B,NLajx,ESval,20030311,1-1,,
CL,group2B,G1ars,ITasr,20030311,1-1,,
CL,group2B,ITasr,NLajx,20030319,1-1,,
CL,group2B,ESval,G1ars,20030319,2-1,,
CL,4f,ESrmd,G1mnu,20030408,3-1,-1,
CL,4f,G1mnu,ESrmd,20030423,4-3,1,
CL,4f,ITjuv,ESbcl,20030409,1-1,-1,
CL,4f,ESbcl,ITjuv,20030422,1-2,3,
CL,4f,NLajx,ITmln,20030408,0-0,-1,
CL,4f,ITmln,NLajx,20030423,3-2,2,
CL,4f,ITiml,ESval,20030409,1-0,-1,
CL,4f,ESval,ITiml,20030422,2-1,1,
CL,2f,ESrmd,ITjuv,20030506,2-1,-1,
CL,2f,ITjuv,ESrmd,20030514,3-1,2,
CL,2f,ITmln,ITiml,20030507,0-0,-1,
CL,2f,ITiml,ITmln,20030513,1-1,1,
CL,f,ITmln,ITjuv,20030528,0-0,5,Manchester (Old Trafford)
UEFAcup,round1,PLlgw,NLutr,20020919,4-1,-1,
UEFAcup,round1,NLutr,PLlgw,20021003,1-3,1,
UEFAcup,round1,ROntb,NLhrv,20020919,3-0,-1,
UEFAcup,round1,NLhrv,ROntb,20021003,2-0,1,
UEFAcup,round1,NLvit,ROrpb,20020917,1-1,-1,
UEFAcup,round1,ROrpb,NLvit,20021003,0-1,1,
UEFAcup,16f,NLvit,DEwbr,20021031,2-1,-1,
UEFAcup,16f,DEwbr,NLvit,20021114,3-3,1,
UEFAcup,round3,NLvit,G1lvp,20021128,0-1,-1,
UEFAcup,round3,G1lvp,NLvit,20021212,1-0,2,
UEFAcup,4f,PTpor,GRpnt,20030313,0-1,-1,
UEFAcup,4f,GRpnt,PTpor,20030320,0-2,3,
UEFAcup,4f,ITlzr,TRbsk,20030313,1-0,-1,
UEFAcup,4f,TRbsk,ITlzr,20030320,1-2,1,
UEFAcup,4f,G2clt,G1lvp,20030313,1-1,-1,
UEFAcup,4f,G1lvp,G2clt,20030320,0-2,1,
UEFAcup,4f,ESmal,PTboa,20030313,1-0,-1,
UEFAcup,4f,PTboa,ESmal,20030320,1-0,6,
UEFAcup,2f,PTpor,ITlzr,20030410,4-1,-1,
UEFAcup,2f,ITlzr,PTpor,20030424,0-0,1,
UEFAcup,2f,G2clt,PTboa,20030410,1-1,-1,
UEFAcup,2f,PTboa,G2clt,20030424,0-1,1,
UEFAcup,f,PTpor,G2clt,20030521,3-2,3,Sevilla
