league,round,team1,team2,dd,result,star,stadium
CL,gD,NLajx,ESrmd,19950913,1-0,,
CL,gD,CHgrs,HUfrv,19950913,0-3,,
CL,gD,HUfrv,NLajx,19950927,1-5,,
CL,gD,ESrmd,CHgrs,19950927,2-0,,
CL,gD,NLajx,CHgrs,19951018,3-0,,
CL,gD,ESrmd,HUfrv,19951018,6-1,,
CL,gD,CHgrs,NLajx,19951101,0-0,,
CL,gD,HUfrv,ESrmd,19951101,1-1,,
CL,gD,ESrmd,NLajx,19951122,0-2,,
CL,gD,HUfrv,CHgrs,19951122,3-3,,
CL,gD,NLajx,HUfrv,19951206,4-0,,
CL,gD,CHgrs,ESrmd,19951206,0-2,,
CL,4f,FRnnt,RUsmk,19960306,2-0,-1,
CL,4f,RUsmk,FRnnt,19960320,2-2,1,
CL,4f,ESrmd,ITjuv,19960306,1-0,-1,
CL,4f,ITjuv,ESrmd,19960320,2-0,2,
CL,4f,PLlgw,GRpnt,19960306,0-0,-1,
CL,4f,GRpnt,PLlgw,19960320,3-0,2,
CL,4f,DEbdm,NLajx,19960306,0-2,-1,
CL,4f,NLajx,DEbdm,19960320,1-0,2,
CL,2f,ITjuv,FRnnt,19960403,2-0,-1,
CL,2f,FRnnt,ITjuv,19960416,3-2,1,
CL,2f,NLajx,GRpnt,19960403,0-1,-1,
CL,2f,GRpnt,NLajx,19960416,0-3,1,
CL,f,ITjuv,NLajx,19960522,1-1,5,Rome
EC2,round1,LVdlp,NLfyn,19950914,0-7,-1,
EC2,round1,NLfyn,LVdlp,19950928,6-0,2,
EC2,16f,G1evr,NLfyn,19951019,0-0,-1,
EC2,16f,NLfyn,G1evr,19951102,1-0,2,
EC2,4f,ITprm,FRpsg,19960307,1-0,-1,
EC2,4f,FRpsg,ITprm,19960321,3-1,2,
EC2,4f,ESdlc,ESrzg,19960307,1-0,-1,
EC2,4f,ESrzg,ESdlc,19960321,1-1,1,
EC2,4f,RUdmk,ATrwn,19960307,0-1,-1,
EC2,4f,ATrwn,RUdmk,19960321,3-0,2,
EC2,4f,DEbmg,NLfyn,19960307,2-2,-1,
EC2,4f,NLfyn,DEbmg,19960321,1-0,2,
EC2,2f,ESdlc,FRpsg,19960404,0-1,-1,
EC2,2f,FRpsg,ESdlc,19960416,1-0,2,
EC2,2f,NLfyn,ATrwn,19960404,1-1,-1,
EC2,2f,ATrwn,NLfyn,19960416,3-0,2,
EC2,f,FRpsg,ATrwn,19960508,1-0,1,Brussel
UEFAcup,itoto,NLhrv,ROfrc,29/30 jul '95,4-0,1,
UEFAcup,intertoto,FRgbr,NLhrv,19950802,2-0,1,
UEFAcup,round1,FImyp,NLpsv,19950912,1-1,-1,
UEFAcup,round1,NLpsv,FImyp,19950926,7-1,2,
UEFAcup,round1,NLrdj,SIolj,19950912,5-0,-1,
UEFAcup,round1,SIolj,NLrdj,19950926,2-0,1,
UEFAcup,16f,PTbnf,NLrdj,19951017,1-0,-1,
UEFAcup,16f,NLrdj,PTbnf,19951031,2-2,1,
UEFAcup,16f,G1lds,NLpsv,19951017,3-5,-1,
UEFAcup,16f,NLpsv,G1lds,19951031,3-0,2,
UEFAcup,round3,NLpsv,DEwbr,19951121,2-1,-1,
UEFAcup,round3,DEwbr,NLpsv,19951205,0-0,1,
UEFAcup,4f,ITmln,FRgbr,19960305,2-0,-1,
UEFAcup,4f,FRgbr,ITmln,19960319,3-0,2,
UEFAcup,4f,CZslp,ITasr,19960305,2-0,-1,
UEFAcup,4f,ITasr,CZslp,19960319,3-1,1,
UEFAcup,4f,ESbcl,NLpsv,19960305,2-2,-1,
UEFAcup,4f,NLpsv,ESbcl,19960319,2-3,1,
UEFAcup,4f,DEbmn,G1ntf,19960305,2-1,-1,
UEFAcup,4f,G1ntf,DEbmn,19960319,1-5,1,
UEFAcup,2f,CZslp,FRgbr,19960402,0-1,-1,
UEFAcup,2f,FRgbr,CZslp,19960416,1-0,2,
UEFAcup,2f,DEbmn,ESbcl,19960402,2-2,-1,
UEFAcup,2f,ESbcl,DEbmn,19960416,1-2,1,
UEFAcup,f,DEbmn,FRgbr,19960501,2-0,-1,
UEFAcup,f,FRgbr,DEbmn,19960515,1-3,1,
