1956-1957:
 2, John Bosman, twn, 20
 3, Roy Makaay, vit, 19
1997-1998:
title, Topscorers Eredivisie
 1, Niklos Machlas, vit, 34
 2, arveladze, ajx, 25
 3, Ronald Hamming, fst, 20
1998-1999:
title, Topscorers Eredivisie
 1, vnistelrooy, psv, 31
 2, Luc Nilis, psv, 24
 3, Jan Vennegoor of Hesselink, twn, 21
1999-2000:
title, Topscorers Eredivisie
 1, vnistelrooy, psv, 29
 2, vhooijdonk, vit, 25
 3, Arnold Bruggink, psv, 19
 4, Luc Nilis, psv, 19
 5, Jan Vennegoor of Hesselink, twn, 19
 6, John Bosman, az1, 18
 7, Anthony Lurling, hrv, 18
 8, Julio Ricardo Cruz, fyn, 15
 9, Richard Knopper, ajx, 15
10, Bob Peeters, rdj, 15
2000-2001:
title, Topscorers Eredivisie
 1, Mateja Kezman, psv, 24
 2, Ali Elkhattabi, spr, 21, # El-Khattabi ???
 3, Yannis Anastasiou, rdj, 19
 3, Igor Gluscevic, utr, 19
 5, arveladze, ajx, 18
 6, Rick Hoogendorp, rkc, 17
 7, nelisse, az1, 16
 8, Jon Dahl Tomasson, fyn, 15
 8, Georgi Hristov, nec, 15
 8, Jan Vennegoor of Hesselink, twn, 15
2001-2002:
title, Topscorers Eredivisie
 1, vhooijdonk, fyn, 24
 2, Jan Vennegoor of Hesselink, psv, 22
 3, Jon Dahl Tomasson, fyn, 17
 4, Landzaat, wl2, 16
 5, Allb&auml;ck, hrv, 15
 5, Mateja Kezman, psv, 15
 5, Igor Gluscevic, utr, 15, # 14 volgens Volkskrant
 8, Rafael van der Vaart, ajx, 14
 8, Van den Eede, dbs, 14
10, nelisse, az1, 13
10, Rick Hoogendorp, rkc, 13
2002-2003:
title, Topscorers Eredivisie
 1, Mateja Kezman, psv, 35
 2, vhooijdonk, fyn, 28
 3, kuyt, utr, 20
 4, Rafael van der Vaart, ajx, 18
 4, Thomas Buffel, fyn, 18
 6, Rick Hoogendorp, rkc, 16
 7, Matthew Amoah, vit, 15
 8, Zlatan Ibrahimovic, ajx, 13
 9, Orlando Engelaar, nac, 12
 9, Arjen Robben, psv, 12
11, Hans van de Haar, grf, 11
11, perez, az1, 11
11, Andy van der Meyde, ajx, 11
15, Salomon Kalou, fyn, 10
15, Romano Denneboom, hrv, 10
15, Tom Soetaers, rdj, 10
2003-2004:
title, Topscorers Eredivisie
 1, Mateja Kezman, psv, 31
 2, kuyt, fyn, 20
 3, Gerald Sibon, hrv, 15
 4, Ali Elkhattabi, az1, 14
 5, nkufo, twn, 14
 6, Thomas Buffel, fyn, 14
 7, Zlatan Ibrahimovic, ajx, 13
 8, Iwan Redan, RKC Waalwijk en Roda JC, 13
 9, Cristiano, rdj, 12, # Cristiano Dos Santos Rodrigues
10, Jan Vennegoor of Hesselink, psv, 12
11, Arouna Kon&eacute;, rdj, 11
12, Yannis Anastasiou, Roda JC en Ajax, 11
13, Tom Caluw&eacute;, wl2, 10, #eacute of egrave ?
14, Roy Stroeve, adh, 10
15, Youssouf Hersi, nec, 10
16, perez, az1, 10
2004-2005:
title, Topscorers Eredivisie
 1, kuyt, fyn, 29
 2, Salomon Kalou, fyn, 20
 3, Jan Vennegoor of Hesselink, psv, 19
 4, nevland, grn, 16
 4, huntelaar, hrv, 16
 4, nkufo, twn, 16
 7, Kone, rdj, 15
 8, Mark van Bommel, psv, 14
 9, perez, az1, 13
 9, Boussaboun, nac, 13
 9, Amoah, vit, 13
12, Hoogendorp, rkc, 12
12, Den Ouden, adh, 12
2005-2006:
title, Topscorers Eredivisie
 1, huntelaar, Heerenveen/Ajax, 33, # Heerenveen: 17; Ajax: 16
 2, arveladze, az1, 22
 2, kuyt, fyn, 22
 4, farfan, psv, 21
 5, Salomon Kalou, fyn, 15
 6, Kone, Roda/PSV, 13, # Roda: 2, PSV: 11
 7, nkufo, twn, 12
 7, Rick Hoogendorp, rkc, 12
 7, Rosenberg, ajx, 12
10, Jan Vennegoor of Hesselink, psv, 11
2006-2007:
title, Topscorers Eredivisie
 1, alves, hrv, 34
 2, koevermans, az1, 22
 2, nkufo, twn, 22
 4, huntelaar, ajx, 21
 4, farfan, psv, 21
 6, lazovic, vit, 19
 7, sneijder, ajx, 18
 8, bakircioglu, twn, 15
 9, arveladze, az1, 14
10, nevland, grn, 13
11, Kolk, adh, 12
11, perez, ajx, 12
11, slory, exc, 12
14, Salmon, grn, 11
14, oper, rdj, 11
2007-2008:
title, Topscorers Eredivisie
 1, huntelaar, ajx, 33
 2, nkufo, twn, 22
 3, suarez, ajx, 17
 4, nelisse, utr, 16
 5, perez, PSV/Ajax, 15
 5, berg, grn, 15
 5, bradley, hrv, 15
 8, koevermans, psv, 14
 8, sulejmani, hrv, 14
2008-2009:
