#<empty header>
az1,hrv,20171223,3,1,15012
exc,twn,20171223,0,0, 4369
grn,spr,20171224,4,0,17617
ajx,wl2,20171224,3,1,51921
vvv,hrc,20171224,3,1, 7528
fyn,rdj,20171224,5,1,40000
spr,vit,20180116,0,1, 9258 # inhaalwedstrijd van 10 dec (sneeuw)
utr,az1,20180119,1,1,18457
rdj,twn,20180120,1,1,12475
adh,vvv,20180120,1,1,11008
pzw,nac,20180120,1,0,13120
vit,hrv,20180120,1,1,15363
spr,exc,20180121,2,3,10224
ajx,fyn,20180121,2,0,53320
wl2,grn,20180121,1,1,12160
hrc,psv,20180121,1,2,11211
utr,fyn,20180124,1,1,22111 # inhaalwedstrijd van 10 dec (sneeuw)
hrv,spr,20180126,2,1,18790
grn,hrc,20180127,3,3,17526
twn,psv,20180127,0,2,25700
pzw,vit,20180127,1,2,13115
nac,vvv,20180127,0,1,18443
utr,ajx,20180128,0,0,21768
fyn,adh,20180128,3,1,47500
rdj,exc,20180128,2,1,11226
wl2,az1,20180128,0,2,11350
vit,grn,20180202,2,0,14675
hrv,twn,20180203,1,0,22290
psv,pzw,20180203,4,0,32800
hrc,adh,20180203,1,1,10127
exc,utr,20180204,2,2, 3997
vvv,fyn,20180204,1,0, 8000
az1,rdj,20180204,2,2,15007
spr,wl2,20180204,1,0,10433
ajx,nac,20180204,3,1,51886
pzw,hrv,20180207,3,2,12920
psv,exc,20180207,1,0,32100
twn,az1,20180207,0,4,23400
utr,spr,20180207,1,0,15929
rdj,ajx,20180207,2,4,14484
nac,hrc,20180207,6,1,17035
wl2,vvv,20180207,3,0,11500
adh,vit,20180208,1,0,12303
fyn,grn,20180208,3,0,37500 # 3-0 door Robin van Persie
utr,pzw,20180210,2,1,17301
hrc,wl2,20180210,1,0,10232
spr,psv,20180210,1,2,10591
az1,vvv,20180210,0,0,14023
hrv,rdj,20180210,1,1,17780
ajx,twn,20180211,2,1,52433
vit,fyn,20180211,3,1,16459
exc,nac,20180211,0,0, 3876
grn,adh,20180211,0,0,16723
vvv,grn,20180216,1,1, 6624
vit,exc,20180217,1,2,15432
psv,hrv,20180217,2,2,33500
nac,az1,20180217,1,3,18628
adh,wl2,20180217,2,1, 9966
rdj,utr,20180218,1,4,11361
fyn,hrc,20180218,1,0,47500
twn,spr,20180218,1,1,25400
pzw,ajx,20180218,0,1,13250
grn,nac,20180223,1,1,21875
az1,spr,20180224,2,1,14884
hrc,pzw,20180224,2,1, 9031
