group,club_id,matches,wins,draws,losses,points,goals_scored,goals_against,remark
ncA,rkc,6,5,1,0,16,11, 3,NB
ncA,zwl,6,2,2,2, 8, 8,10,
ncA,drd,6,2,1,3, 7,12,13,
ncA,emm,6,1,0,5, 3,10,15,
ncB,spr,6,5,0,1,15,19, 6,NB
ncB,grn,6,4,1,1,13,16, 8,
ncB,exc,6,2,1,3, 7,16,18,
ncB,hlm,6,0,0,6, 0, 5,24,
