tournement,round,club1,club2,dd,result,star
pd,1,nac,vol,20210515,4-1,1
pd,1,grf,rdj,20210515,2-3,2
pd,1,omn,nec,20210515,0-4,2
pd,2,nec,rdj,20210520,3-0,1
pd,2,emm,nac,20210520,1-1,6
pd,3,nac,nec,20210523,1-2,2
