tournement,round,club1,club2,dd,result,star
pd,3,gae,wl2,20100513,1-0,
pd,3,exc,spr,20100513,0-0,
pd,3,wl2,gae,20100516,3-0,4
pd,3,spr,exc,20100516,1-1,1
