group,club_id,matches,wins,draws,losses,points,goals_scored,goals_against,remark
ncA,zwl,6,4,2,0,14,12, 5,NB
ncA,hlm,6,3,1,2,10, 9,10,
ncA,dbs,6,2,1,3, 7, 7,10,
ncA,gae,6,1,0,5, 3, 9,12,
ncB,vol,6,4,0,2,12,12, 7,NP
ncB,emm,6,3,0,3, 9, 6, 6,
ncB,exc,6,3,0,3, 9, 8, 9,ND
ncB,hrc,6,2,0,4, 6, 6,10,
