group,club_id,matches,wins,draws,losses,points,goals_scored,goals_against,remark
ncA,rbc,6,4,2,0,14,15, 6,NP
ncA,dbs,6,4,1,1,13,17, 9,ND
ncA,emm,6,1,1,4, 4,10,15,
ncA,cmb,6,1,0,5, 3, 8,20,
ncB,exc,6,3,1,2,10,10, 8,NP
ncB,vol,6,3,0,3, 9,10,14,
ncB,adh,6,2,2,2, 8,13, 9,
ncB,spr,6,2,1,3, 7,10,12,ND
