group,club_id,matches,wins,draws,losses,points,goals_scored,goals_against,remark
ncA,vol,6,6,0,0,18,10, 2,NB
ncA,hrc,6,3,1,2,10,13, 7,
ncA,vvv,6,1,1,4, 4, 3, 9,
ncA,dbs,6,0,2,4, 2, 2,10,
ncB,nec,6,5,0,1,15,12, 4,NB
ncB,vnd,6,3,1,2,10, 8, 7,
ncB,emm,6,3,0,3, 9,10, 8,
ncB,cmb,6,0,1,5, 1, 2,13,
