tournement,round,club1,club2,dd,result,star
pd,finale,rbc,exc,20070520,1-1,
pd,finale,vvv,rkc,20070520,2-0,
pd,finale,exc,rbc,20070524,1-0,2
pd,finale,rkc,vvv,20070524,1-0,
pd,finale,vvv,rkc,20070527,3-0,1
