tournement,round,club1,club2,dd,result,star
pd,2,drd,rdj,20090519,1-1,
pd,2,zwl,cmb,20090519,2-1,
pd,2,exc,rkc,20090519,1-2,
pd,2,mvv,grf,20090519,2-3,
pd,2,rdj,drd,20090522,1-0,2
pd,2,cmb,zwl,20090522,3-1,
pd,2,rkc,exc,20090522,1-1,1
pd,2,grf,mvv,20090522,2-2,2
pd,2,cmb,zwl,20090524,2-0,1
pd,3,cmb,rdj,20090528,0-0,
pd,3,rkc,grf,20090528,2-0,
pd,3,rdj,cmb,20090531,1-1,
pd,3,grf,rkc,20090531,2-1,
pd,3,cmb,rdj,20090603,2-2,6
pd,3,rkc,grf,20090603,1-0,1
