group,club_id,matches,wins,draws,losses,points,goals_scored,goals_against,remark
ncA,rkc,6,3,1,2, 7,14, 7,NB
ncA,tlr,6,3,0,3, 6, 9,11,
ncA,adh,6,3,0,3, 6, 5,12,
ncA,az1,6,2,1,3, 5,10, 8,
ncB,nec,6,6,0,0,12,14, 5,NP
ncB,vvv,6,3,0,3, 6,11, 9,ND
ncB,hrc,6,2,0,4, 4, 8,12,
ncB,grf,6,1,0,5, 2,10,17,
