tournement,round,club1,club2,dd,result,star
EL,1,rdj,hrc,20100506,1-1,
EL,1,utr,grn,20100506,2-1,
EL,1,hrc,rdj,20100509,1-2,1
EL,1,grn,utr,20100509,0-2,1
EL,2,rdj,utr,20100513,0-2,
EL,2,utr,rdj,20100516,4-1,2
