group,club_id,matches,wins,draws,losses,points,goals_scored,goals_against,remark
ncA,rkc,6,5,0,1,15,19, 6,NB
ncA,zwl,6,3,1,2,10, 6, 9,
ncA,emm,6,2,1,3, 7, 8,10,
ncA,adh,6,0,2,4, 2, 3,11,
ncB,nec,6,5,0,1,15,19, 5,NB
ncB,gae,6,5,0,1,15,17, 8,
ncB,cmb,6,2,0,4, 6, 8,15,
ncB,vvv,6,0,0,6, 0, 6,22,
