tournement,round,club1,club2,dd,result,star
EL,1,nac,fyn,20090516,3-2,
EL,1,utr,grn,20090516,3-3,
EL,1,fyn,nac,20090521,0-4,1
EL,1,grn,utr,20090521,4-0,2
EL,2,nac,grn,20090528,1-1,
EL,2,grn,nac,20090531,0-2,1
