group,club_id,matches,wins,draws,losses,points,goals_scored,goals_against,remark
ncA,vit,6,4,2,0,14,14, 4,NB
ncA,vvv,6,2,2,2, 8,11,10,
ncA,spr,6,1,3,2, 6, 8,10,
ncA,hlm,6,0,3,3, 3, 7,16,
ncB,grf,6,4,1,1,13,10, 4,NP
ncB,hrc,6,3,2,1,11,11, 6,
ncB,exc,6,2,2,2, 8, 8, 8,
ncB,vol,6,0,1,5, 1, 4,15,ND
