group,club_id,matches,wins,draws,losses,points,goals_scored,goals_against,remark
ncA,fst,6,3,1,2,10, 9, 6,NB
ncA,zwl,6,2,3,1, 9, 6, 4,
ncA,vol,6,3,0,3, 9, 6, 8,
ncA,tlr,6,1,2,3, 5, 7,10,
ncB,spr,6,4,1,1,13,14, 8,NB
ncB,cmb,6,3,0,3, 9,11,13,
ncB,exc,6,2,1,3, 7,14,14,
ncB,gae,6,1,2,3, 5, 9,13,
