tournement,round,club1,club2,dd,result,spectators,star
pd,finale,grf,wl2,20060505,0-1,11000,
pd,finale,vol,nac,20060505,1-2, 5404,
pd,finale,wl2,grf,20060509,2-1,13800,2
pd,finale,nac,vol,20060508,0-0,17000,2
