club_id,matches,wins,draws,losses,points,goals_scored,goals_against,remark
hrc,38,27, 4, 7, 85,103,42,K;RP
pzw,38,27, 4, 7, 85, 99,43,RP
omn,38,21, 7,10, 70, 58,41,PDP
wl2,38,19,11, 8, 68, 68,40,
mvv,38,18, 5,15, 59, 65,65,
nac,38,18, 5,15, 59, 64,64,
vvv,38,16,10,12, 58, 56,51,
end,38,16,10,12, 58, 58,54,
tlr,38,14,11,13, 53, 39,52,
grf,38,15, 7,16, 52, 64,54,
az2,38,14, 9,15, 51, 60,58,
adh,38,13,12,13, 51, 51,57,
aj2,38,12,10,16, 46, 69,72,
ps2,38,12, 9,17, 45, 59,63,
rdj,38,12, 7,19, 43, 49,59,
hlm,38,11,10,17, 43, 39,57,
top,38,10, 7,21, 37, 45,76,
drd,38, 9, 8,21, 35, 41,68,
dbs,38,10, 5,23, 35, 46,85,
ut2,38, 7, 7,24, 28, 33,65,
