club_id,matches,wins,draws,losses,points,goals_scored,goals_against,remark
twn,38,25, 5, 8,80,72,39,K
spr,38,19,12, 7,69,78,47,PDP
ps2,38,18, 9,11,63,77,59,
dbs,38,18, 9,11,63,64,49,
gae,38,19, 6,13,63,63,57,
top,38,18, 8,12,62,48,40,
omn,38,19, 5,14,62,60,63,
rkc,38,18, 5,15,59,69,57,PDP
nec,38,16,10,12,58,73,60,
cmb,38,16,10,12,58,61,48,
aj2,38,16, 8,14,56,81,67,
mvv,38,14,12,12,54,49,53,
rdj,38,14,11,13,53,57,59,
end,38,13, 9,16,48,52,48,
tlr,38,14, 6,18,48,45,58,
vol,38, 9,14,15,41,46,62,
drd,38, 9, 9,20,36,54,84,
az2,38, 7,12,19,33,46,67,
ut2,38, 5, 8,25,23,47,90,
hlm,38, 4,10,24,22,37,72,
