club id,matches,wins,draws,losses,points,goals scored,goals against,remark
vvv,38,25, 5, 8,80,86,38,K;RP;P2
rkc,38,18,17, 3,71,68,31,PDP
cmb,38,20, 9, 9,69,68,49,PD
zwl,38,18, 9,11,63,58,49,PD;P4
exc,38,16,13, 9,61,53,43,PD;P1
mvv,38,16,12,10,60,60,42,PD
gae,38,14,14,10,56,41,41,
drd,38,15,10,13,55,51,39,PD;P6
dbs,38,15, 8,15,53,59,51,
hlm,38,14,11,13,53,50,48,
ago,38,15, 7,16,52,60,67,
hrl,38,15, 5,18,50,43,56,
emm,38,13, 8,17,47,48,68,
top,38,11, 9,18,42,50,63,PD;P5
fst,38,11, 9,18,42,42,59,
rbc,38,11, 7,20,40,43,55,
tlr,38, 9,12,17,39,42,56,PD;P3
end,38, 9,14,15,38,59,80,
vnd,38,10, 9,19,36,46,67,
omn,38, 8, 6,24,30,40,65,
