club_id,matches,wins,draws,losses,points,goals_scored,goals_against,remark
emm,38,26, 5, 7,83,64,24,K;RP
vol,38,21,12, 5,75,81,53,RP
end,38,21, 8, 9,71,69,43,
ado,38,22, 7, 9,67,76,53, -6 pnt
rdj,38,18,12, 8,66,77,50,
exc,38,19, 9,10,66,82,57,PDP
aj2,38,18, 9,11,63,82,63,
nac,38,16,11,11,59,60,45,
grf,38,15,11,12,56,52,43,
vvv,38,14, 6,18,48,50,64,
dbs,38,14, 5,19,47,42,61,
ps2,38,11,11,16,44,61,63,
az2,38,12, 6,20,42,39,50,
omn,38,11, 8,19,41,57,69,
top,38,11, 8,19,41,48,62,
mvv,38,12, 4,22,40,43,75,
drd,38,10, 9,19,39,53,77,
ut2,38,11, 5,22,38,43,67,
tlr,38, 8,11,19,35,47,74,
hlm,38, 8, 7,23,28,39,72, -3 pnt
