club id,matches,wins,draws,losses,points,goals scored,goals against,remark
drd,34,20, 6, 8,46,64,36,K;RP
nec,34,19, 7, 8,45,69,44,PDP
az1,34,16,10, 8,42,60,31,PD
hrc,34,16, 9, 9,41,68,37,PD
tlr,34,15,10, 9,40,60,32,PD
grf,34,13,12, 9,38,45,37,PD
adh,34,14,10,10,38,62,56,PD
zwl,34,15, 8,11,38,51,53,
emm,34,14, 8,12,36,49,58,
fst,34,11,11,12,33,36,36,
dbs,34,12, 9,13,33,55,57,
exc,34,10,10,14,30,41,54,
hlm,34, 9,12,13,30,35,51,
rbc,34,11, 7,16,29,60,69,
hrl,34, 9, 7,18,25,42,62,
end,34, 5,14,15,24,31,64,
vnd,34, 6,11,17,23,39,57,
top,34, 7, 7,20,21,36,69,
