# empty header
title,Eindstand Eerste Divisie (Gouden Gids Divisie)
exc,38,22, 9, 7,75,68,25,K;RP;P4
vvv,38,20, 8,10,68,53,34,PD
vol,38,19, 9,10,66,59,43,PD;P1
hlm,38,19, 7,12,64,62,55,PD;P5
grf,38,17,11,10,62,63,51,PD
emm,38,18, 6,14,60,68,56
dbs,38,16,11,11,59,62,51
hrl,38,17, 8,13,59,57,51
drd,38,15,11,12,56,61,45
ago,38,17, 5,16,56,64,62,PD;P6
top,38,15,10,13,55,51,53,PD;P3
zwl,38,15, 9,14,54,57,52,PD;P2
mvv,38,13,12,13,51,53,52
vnd,38,14, 9,15,51,54,60
cmb,38,12,14,12,47,48,50
tls,38, 9,13,16,40,37,53
end,38,11, 6,21,39,53,65
gae,38, 8,11,19,35,45,70
omn,38, 7, 8,23,29,50,87
fst,38, 2,11,25,17,35,85
