# empty header
title,Eindstand Eerste Divisie (Jupiler League)
spr,36,24, 7, 5,79,83,40,K;RP
vvv,36,23, 6, 7,75,85,39
nac,36,20, 7, 9,67,84,42
end,36,19, 6,11,63,55,44
gae,36,18, 7,11,61,61,41,PDP
vol,36,14,10,12,52,54,40
emm,36,15, 6,15,51,58,57
omn,36,14, 8,14,50,68,66
aj2,36,13,11,12,50,59,57
mvv,36,14, 8,14,50,52,60
ps2,36,13, 9,14,48,51,71
tlr,36,12, 8,16,44,57,64
hlm,36,11, 9,16,42,52,59
drd,36,11, 7,18,40,47,67
ach,36,10, 9,17,39,43,61
fst,36,11, 6,19,39,41,74
dbs,36, 9,11,16,38,47,53
rkc,36, 7,11,18,32,41,66
top,36, 7, 8,21,29,43,80
