# empty header
title,Eindstand Eerste Divisie (Gouden Gids Divisie)
dbs,36,22, 8, 6,74,85,48,K;P1;RP
exc,36,22, 8, 6,74,70,39,PD
spr,36,21, 6, 9,69,76,43,PD
hrc,36,19,10, 7,67,71,42,P2;PD
hlm,36,19, 8, 9,65,66,42,P3;PD
grf,36,18,10, 8,64,63,43,PDP
vvv,36,19, 4,13,61,76,62,P4;PD
emm,36,17,10, 9,61,65,54
gae,36,15, 8,13,53,79,63
ago,36,14, 8,14,50,63,54
top,36,12, 9,15,45,57,60
tls,36,12, 8,16,44,55,62
hrl,36,10, 9,17,39,41,63
vnd,36, 7,15,14,36,46,71
drd,36, 5,15,16,30,33,60
end,36, 6,12,18,30,40,69
cmb,36, 6,10,20,28,35,65
mvv,36, 6,10,20,28,32,70
fst,36, 3,10,23,19,38,81
