club_id,matches,wins,draws,losses,points,goals_scored,goals_against,remark
adh,38,29, 2, 7, 89, 90,37,K;RP
cmb,38,23, 9, 6, 78, 75,48,RP
wl2,38,20, 8,10, 68, 59,42,
grf,38,18, 9,11, 63, 74,58,
omn,38,18, 4,16, 58, 78,63,
rkc,38,16,10,12, 58, 71,59,
ps2,38,17, 5,16, 56, 66,64,
rdj,38,14,13,11, 55, 59,54,
dbs,38,14, 9,15, 51, 65,69,
drd,38,12,11,15, 47, 48,56,
end,38,14, 5,19, 47, 51,69,
ut2,38,12,10,16, 46, 58,62,
vvv,38,13, 6,19, 45, 50,58,
emm,38,12, 9,17, 45, 58,72,
vit,38,15,11,12, 44, 64,55,-12
top,38,11,11,16, 44, 54,64,
az2,38,12, 4,22, 40, 61,76,
hlm,38,10, 9,19, 39, 42,62,
mvv,38, 9,11,18, 38, 41,73,
aj2,38, 9, 8,21, 35, 50,73,
