club id,matches,wins,draws,losses,points,goals scored,goals against,remark
zwl,34,22, 7, 5,73,65,36,K;RP;P3
exc,34,21, 7, 6,70,73,31,PDP;P1
rbc,34,21, 5, 8,68,76,40,PDP
adh,34,18, 9, 7,63,53,36,PD;P4
emm,34,17, 8, 9,59,53,43,PD
vol,34,15, 8,11,53,66,48,PD
cmb,34,15, 6,13,51,50,42,PD;P2
hrc,34,14, 6,14,48,52,51,
tls,34,12, 9,13,45,55,49,
drd,34,12, 9,13,45,66,66,
vnd,34,13, 6,15,45,60,62,
hrl,34,10, 8,16,38,37,46,
vvv,34,11, 5,18,38,51,64,
mvv,34,10, 7,17,37,49,61,
hlm,34, 8,13,13,37,34,51,
gae,34, 9, 9,16,36,48,62,
end,34, 8, 7,19,31,52,77,
top,34, 3, 5,26,14,25,100,
