club_id,matches,wins,draws,losses,points,goals_scored,goals_against,remark
wl2,38,23,10, 5,79,77,35,K;RP
grn,38,22, 9, 7,75,71,30,RP
rdj,38,21,12, 5,75,69,34,
drd,38,18,15, 5,69,74,51,
adh,38,17,12, 9,63,72,50,
grf,38,19, 6,13,63,61,52,
emm,38,17, 6,15,57,59,60,
nac,38,15,11,12,56,63,56,
mvv,38,16, 8,14,56,64,60,
az2,38,16, 8,14,56,62,61,
hlm,38,14, 9,15,51,52,55,
vvv,38,13, 9,16,48,53,58,
cmb,38,13, 8,17,47,71,74,
end,38, 9,16,13,43,45,57,
aj2,38,10,10,18,40,54,69,
ps2,38,11, 7,20,40,63,81,
tlr,38, 9, 8,21,35,47,68,
top,38,10, 4,24,34,32,66,
dbs,38, 8, 9,21,33,38,68,
ut2,38, 5,11,22,26,32,74,
