club_id,matches,wins,draws,losses,points,goals_scored,goals_against,remark
rkc,34,22, 7, 5,73,85,40,K;RP
zwl,34,20,10, 4,69,69,27,
hlm,34,17, 8, 9,59,61,43,
vnd,34,15,12, 7,53,54,44,
cmb,34,15, 9,10,51,64,52,
vol,34,14, 9,11,51,56,50,
gae,34,13,11,10,50,58,43,
dbs,34,11,14, 9,47,56,47,
spr,34,12, 7,15,43,71,65,
mvv,34,14, 8,12,42,44,50,
drd,34,12, 9,13,41,52,56,
end,34,10,10,14,40,41,49,
emm,34, 8,11,15,35,48,64,
tlr,34, 8,10,16,34,43,54,
ago,34,11, 7,16,31,54,77,
fst,34, 7, 7,20,26,42,70,
rbc,34, 7, 8,19,26,38,66,
omn,34, 8, 7,19,25,45,84,
