club id,matches,wins,draws,losses,points,goals scored,goals against,remark
cmb,29,21, 3, 5, 66, 68,25,
grf,29,17,11, 1, 62, 63,28,
vol,29,16, 7, 6, 55, 57,42,
aj2,29,16, 6, 7, 54, 72,47,
nac,29,14, 8, 7, 50, 48,30,
gae,29,12,12, 5, 48, 49,41,
exc,29,13, 8, 8, 47, 65,55,
nec,29,12, 9, 8, 45, 51,37,
omn,29,13, 5,11, 44, 44,42,
tlr,29,12, 8, 9, 44, 47,48,
dbs,29,10,11, 8, 38, 56,49, -3
ut2,29,10, 8,11, 38, 48,47,
end,29, 9, 7,13, 34, 46,59,
az2,29, 7, 7,15, 28, 45,61,
mvv,29, 7, 6,16, 27, 37,53,
top,29, 6, 7,16, 25, 28,53,
rdj,29, 5,10,14, 22, 36,52, -3
ps2,29, 5, 7,17, 22, 34,56,
drd,29, 4, 8,17, 20, 34,66,
hlm,29, 3, 8,18, 17, 25,62,
