club_id,matches,wins,draws,losses,points,goals_scored,goals_against,remark
dbs,34,23, 6, 5,75,64,25,K;RP;P3
exc,34,20, 6, 8,66,89,63,P1;PD
zwl,34,18,10, 6,64,73,41,PD
cmb,34,15, 9,10,54,55,52,P4;PD
vol,34,16, 5,13,53,58,48,P2;PD
gae,34,16, 5,13,53,62,63,PD
tlr,34,15, 8,11,53,47,48,PD
hlm,34,13, 9,12,48,69,50,
end,34,12, 9,13,45,58,57,
top,34,14, 3,17,45,59,67,
emm,34,11, 8,15,41,53,64,
drd,34,10,10,14,40,58,59,
mvv,34,12, 4,18,40,47,58,
vnd,34,11, 6,17,39,54,69,
hrc,34,10, 9,15,39,38,56,
adh,34, 9, 9,16,36,51,71,
hrl,34, 8,10,16,34,46,64,
vvv,34, 8, 4,22,28,37,63,
