club_id,matches,wins,draws,losses,points,goals_scored,goals_against,remark
vol,38,26, 4, 8, 82, 87,48,K;RP
exc,38,22, 8, 8, 74, 74,38,RP
cmb,38,22, 5,11, 71, 63,42,
ado,38,20,10, 8, 70, 69,47,
drd,38,20, 8,10, 68, 69,46,
grf,38,19, 8,11, 65, 73,50,
tlr,38,17,10,11, 61, 69,47,
emm,38,17, 5,16, 56, 56,53,
dbs,38,15,10,13, 55, 53,48,
az2,38,14,10,14, 52, 69,63,
end,38,14, 9,15, 51, 58,64,
rdj,38,13,10,15, 49, 49,57,
hlm,38,12,10,16, 46, 53,61,
vvv,38,11, 8,19, 41, 44,69,
mvv,38,10,10,18, 40, 52,59,
top,38, 8,14,16, 38, 31,61,
aj2,38, 9, 9,20, 36, 37,52,
ps2,38, 8, 6,24, 30, 55,86,
ut2,38, 4,11,23, 23, 31,82,
vit,38,11,11,16,  5, 54,73,-39
