club id,matches,wins,draws,losses,points,goals scored,goals against,remark
az1,34,21, 9, 4,72,81,31,K;RP
cmb,34,20, 5, 9,65,66,43,PDP
emm,34,18, 7, 9,61,64,45,PD
dbs,34,17, 9, 8,60,60,42,PD
adh,34,17, 7,10,58,69,43,PD
zwl,34,14,12, 8,54,58,42,PD
top,34,16, 4,14,52,59,50,
end,34,16, 3,15,51,50,52,PD
gae,34,15, 4,15,49,70,55,
hlm,34,12,11,11,47,46,45,
vvv,34,12,11,11,47,45,46,
vnd,34,11,12,11,45,51,55,
tlr,34,11, 7,16,40,43,60,
hrc,34, 8, 8,18,32,51,77,
hrl,34, 8, 7,19,31,43,85,
exc,34, 8, 6,20,30,39,64,
drd,34, 6,12,16,30,37,64,
rbc,34, 4,10,20,22,33,66,
