club_id,matches,wins,draws,losses,points,goals_scored,goals_against,remark
nec,38,33, 2, 3,101,100,32,K;RP
end,38,26, 2,10, 80, 70,39,PD
rdj,38,21, 6,11, 69, 69,58,PDP
emm,38,19,10, 9, 67, 88,57,PD
vol,38,18, 8,12, 62, 83,68,PD
grf,38,18, 7,13, 61, 73,49,PDP
vvv,38,16,12,10, 60, 48,43,PD
spr,38,16,10,12, 58, 72,46,
oss,38,17, 5,16, 56, 73,67,PD
omn,38,13, 9,16, 48, 64,63,PD
mvv,38,14, 6,18, 48, 51,70,
aj2,38,12,11,15, 47, 64,67,
tw2,38,12,11,15, 47, 49,64,
ps2,38,11,13,14, 46, 50,56,
tlr,38,12, 6,20, 42, 53,68,
dbs,38,10, 9,19, 39, 46,61,
hlm,38,10, 8,20, 38, 52,85,
ach,38, 8, 9,21, 33, 44,71,
fst,38, 7, 8,23, 29, 30,72,
rkc,38, 7, 8,23, 29, 39,82,
