season,rank,name,club,total
2014-2015, 9, Ralf Seuntjens, Telstar, 17
2015-2016, 1, Ralf Seuntjens, VVV-Venlo, 28
2015-2016, 2, De Kogel, Go Ahead Eagles, 24
2015-2016, 2, Verhaar, Sparta Rdam, 24
2015-2016, 4, Janga, FC Dordrecht, 21
2015-2016, 4, Ars, NAC Breda, 21
2015-2016, 6, Tissoudali, Telstar, 19
2015-2016, 7, Brogno, Sparta Rdam, 16
2015-2016, 8, Kip, Almere City FC, 15
2015-2016, 8, Caenepeel, FC Eindhoven, 15
2016-2017, 1, Tom Boere,            FC Oss,         33
2016-2017, 2, Piotr Parzyszek,      De Graafschap,  25
2016-2017, 3, Cyriel Dessers,       NAC Breda,      22
2016-2017, 3, Sander van de Streek, SC Cambuur,     22
2016-2017, 5, Soufyan Ahannach,     Almere City FC, 18
2016-2017, 5, Albert Gudmundsson,   Jong PSV,       18
2016-2017, 7, Sam Lammers,          Jong PSV,       17
2016-2017, 7, Pieter Langedijk,     RKC Waalwijk,   17
2016-2017, 9, Ralf Seuntjens,       VVV-Venlo,      16
2016-2017,10, Vaclav Cerny,         Jong Ajax,      15
2016-2017,10, Mart Lieder,          FC Eindhoven,   15
2016-2017,10, Johan Voskamp,        RKC Waalwijk,   15
2017-2018, 1, Mart Lieder, FC Eindhoven, 30
2017-2018, 2, Novakovich, Telstar, 19
2017-2018, 3, Cassierra, Jong Ajax, 19
2017-2018, 4, Okita, MVV Maastricht, 18
2017-2018, 5, Peters, FC Emmen, 17
2017-2018, 6, Valpoort, Almere City FC, 16
2017-2018, 6, Van Mieghem, De Graafschap, 16
2017-2018, 6, Hendriks, Go Ahead Eagles, 16
2018-2019, 1, Druijf, nec, 29
2018-2019, 2, Engels, rdj, 24
2018-2019, 2, Veldwijk, spr, 24
2018-2019, 4, Dogan, top, 21
2018-2019, 5, Pereira, aj2, 19
2018-2019, 6, Boere, twn, 16
2018-2019, 6, Venema, ut2, 16
2018-2019, 8, Van den Hurk, mvv, 15
2018-2019, 8, Okita, nec, 15
2018-2019,10, Beltrame, dbs, 14
2019-2020, 1, Robert M&uuml;hren, cmb, 26
2019-2020, 2, Kharchouch, telstar, 20
2020-2021, 1, Robert M&uuml;hren, cmb, 38
2020-2021, 2, &Oacute;marsson, exc, 22
2020-2021, 3, Verheydt, omn, 20
2020-2021, 3, Hornkamp, dbs, 20
2020-2021, 5, Hilterman, ut2, 19
2020-2021, 5, Plet, tlr, 19
2020-2021, 7, Mulattieri, vol, 18
2020-2021, 8, Van Hooijdonk, nac, 15
2020-2021, 9, Seuntjens, grf, 14
2021-2022, 1, Dallinga, exc, 32
2021-2022, 2, Verheydt, adh, 30
2021-2022, 3, M&uuml;hren, vol, 29
2021-2022, 4, Vente, rdj, 23
2021-2022, 5, Sleegers, end, 21
2021-2022, 6, Niemeijer, exc, 17
2021-2022, 6, Bakayoko, ps2, 17
2021-2022, 8, &Uuml;n&uuml;var, aj2, 16
2022-2023, 1, Thy, pzw, 23
2022-2023, 2, Vente, rdj, 21
2022-2023, 3, Armenteros, hrc, 17
2022-2023, 4, Hansson, hrc, 16
2022-2023, 4, Laursen, hrc, 16
2022-2023, 4, Van den Belt, pzw, 16
2022-2023, 7, Van Duiven, ps2, 15
2022-2023, 7, Ruben van Bommel, mvv, 15
2023-2024, 1, Henk Veerman, ado, 23
2023-2024, 2, Kaars, hlm, 21
2023-2024, 3, Smit, cmb, 19
2023-2024, 4, Postema, grn, 18
2023-2024, 5, Kostorz, dbs, 16
2023-2024, 5, Livramento, mvv, 16
2023-2024, 5, Hilterman, wl2, 16
2023-2024, 8, Eddahchouri, tlr, 14
2023-2024, 9, Suray, drd, 13
