# empty header
title,Eerste Divisie
mvv,34,20,10, 4,70,62,30,K;RP
cmb,34,20, 7, 7,67,65,33,PD
emm,34,18, 9, 7,63,58,36,PD
vvv,34,16, 9, 9,57,55,40,PD
zwl,34,15,10, 9,55,52,40,PD
gae,34,16, 7,11,55,58,48,PD
dbs,34,16, 6,12,54,55,43
adh,34,14,10,10,52,48,48,PD
end,34,14, 8,12,50,53,53
vnd,34,13,10,11,49,44,35
top,34,13, 8,13,47,46,50
drd,34,13, 7,14,46,45,49
hrc,34, 9,10,15,37,51,50
hlm,34,10, 6,18,36,46,64
rbc,34,10, 5,19,35,41,63
tlr,34, 7, 7,20,28,34,68
exc,34, 6, 6,22,24,37,67
hrl,34, 5, 7,22,22,34,67
