club id,matches,wins,draws,losses,points,goals scored,goals against,remark
adh,34,26, 5, 3,83,74,20,K;P1;RP
emm,34,23, 6, 5,75,66,33,P3;PD
hlm,34,19, 7, 8,64,72,44,P4;PD
hrc,34,18, 6,10,60,78,52,PD
dbs,34,18, 6,10,60,62,38,P2;PD
vol,34,18, 6,10,60,61,44,PDP
gae,34,17, 7,10,58,74,55,PD
spr,34,13, 6,15,45,60,62,
top,34,13, 5,16,44,48,68,
end,34,11, 8,15,41,41,49,
cmb,34,12, 4,18,40,54,77,
tls,34,11, 5,18,38,37,45,
vvv,34,10, 7,17,37,42,60,
hrl,34, 9, 8,17,35,31,63,
fst,34, 8, 8,18,32,43,53,
mvv,34, 8, 8,18,32,35,53,
vnd,34, 8, 8,18,32,37,66,
drd,34, 6, 6,22,24,31,64,
