club_id,matches,wins,draws,losses,points,goals_scored,goals_against,remark
aj2,38,25, 4, 9,79,89,54,K
fst,38,24, 6, 8,78,81,41,RP
nec,38,22, 8, 8,74,82,46,PD
grf,38,18,11, 9,65,78,47,PDP
ps2,38,19, 7,12,64,76,54,
tlr,38,16,13, 9,61,66,63,PD
emm,38,14,16, 8,58,58,50,PDP
cmb,38,16,10,12,58,58,53,PD
omn,38,15, 7,16,52,70,76,PD
mvv,38,14, 8,16,50,57,56,PD
dbs,38,12,11,15,47,59,55,
end,38,14, 5,19,47,61,83,
drd,38,14, 5,19,47,57,81,PD
vol,38,13, 7,18,46,59,67,
top,38,12,10,16,46,53,65,
az2,38,14, 4,20,46,57,70,
gae,38, 9,10,19,37,48,68,
rkc,38, 8,13,17,37,37,61,
hlm,38, 9, 9,20,36,50,67,
ut2,38, 7, 6,25,27,37,76,
