club_id,matches,wins,draws,losses,points,goals_scored,goals_against,remark
cmb,38,29, 5, 4,92,109,36,K;RP
gae,38,23, 8, 7,77, 62,25,RP
grf,38,23, 8, 7,77, 67,47,PD
omn,38,22, 9, 7,75, 75,48,PD
nac,38,22, 7, 9,73, 75,41,PD
vol,38,19, 9,10,66, 79,52,PD
nec,38,20, 6,12,66, 68,45,PDP
rdj,38,15,12,11,57, 67,61,PD
exc,38,14, 6,18,48, 65,66,
top,38,13, 8,17,47, 40,57,
mvv,38,13, 7,18,46, 50,72,
hlm,38,11,12,15,45, 51,68,
tlr,38,10,11,17,41, 57,61,
ps2,38,10,10,18,40, 54,65,
end,38,10,10,18,40, 50,62,
aj2,38,10,10,18,40, 55,71,
az2,38,11, 5,22,38, 56,92,
ut2,38,11, 2,25,35, 53,77,
dbs,38, 8, 8,22,32, 59,85,
drd,38, 8, 3,27,27, 36,97,
