round,land1,land2,dd,result,star,remark
g9,MK,G2,20080906,1-0,,
g9,NO,IS,20080906,2-2,,
g9,MK,NL,20080910,1-2,,
g9,IS,G2,20080910,1-2,,
g9,NL,IS,20081011,2-0,,
g9,G2,NO,20081011,0-0,,
g9,NO,NL,20081015,0-1,,
g9,IS,MK,20081015,1-0,,
g9,NL,G2,20090328,3-0,,
g9,NL,MK,20090401,4-0,,
g9,G2,IS,20090401,2-1,,
g9,MK,NO,20090606,0-0,,
g9,IS,NL,20090606,1-2,,
g9,NL,NO,20090610,2-0,,
g9,MK,IS,20090610,2-0,,
g9,NO,G2,20090812,4-0,,
g9,IS,NO,20090905,1-1,,
g9,G2,MK,20090905,2-0,,
g9,G2,NL,20090909,0-1,,
g9,NO,MK,20090909,2-1,,
po,RU,SI,20091114,2-1,,
po,SI,RU,20091118,1-0,1,
po,GR,UA,20091114,0-0,,
po,UA,GR,20091118,0-1,2,
po,IE,FR,20091114,0-1,,
po,FR,IE,20091118,1-1,1,gelijkmaker Frankrijk wordt vooraf gegaan door hands Henry
po,PT,BA,20091114,1-0,,
po,BA,PT,20091118,0-1,2,
po,BH,NZ,20091010,0-0,,
po,NZ,BH,20091114,0-1,1,
po,CR,UY,20091114,0-1,,
po,UY,CR,20091118,1-1,1,
