# EKWK voorronde format
po,HR,UA,19971029,2,0,15/16 nov '97,1,1,1
po,RU,IT,19971029,1,1,15/16 nov '97,1,0,2
po,IE,BE,19971029,1,1,15/16 nov '97,2,1,2
po,HU,YU,19971029,1,7,15/16 nov '97,5,0,2
qf,BR,titelverdediger
qf,FR,gastland
qf,BG,Europa: groepswinnaar
qf,DK,Europa: groepswinnaar
qf,DE,Europa: groepswinnaar
qf,G1,Europa: groepswinnaar
qf,NL,Europa: groepswinnaar
qf,NO,Europa: groepswinnaar
qf,AT,Europa: groepswinnaar
qf,RO,Europa: groepswinnaar
qf,ES,Europa: groepswinnaar
qf,G2,Europa: beste nr. 2
qf,BE,Europa: winnaar play-offs
qf,IT,Europa: winnaar play-offs
qf,YU,Europa: winnaar play-offs
qf,HR,Europa: winnaar play-offs
qf,CM,Afrika
qf,MA,Afrika
qf,NG,Afrika
qf,TN,Afrika
qf,ZA,Afrika
qf,AR,Zuid-Amerika
qf,CL,Zuid-Amerika
qf,CO,Zuid-Amerika
qf,PY,Zuid-Amerika
qf,JM,Midden/Noord-Amerika
qf,MX,Midden/Noord-Amerika
qf,US,Midden/Noord-Amerika
qf,IR,Azi&euml;/Oceani&euml;
qf,JP,Azi&euml;/Oceani&euml;
qf,SA,Azi&euml;/Oceani&euml;
qf,KR,Azi&euml;/Oceani&euml;
