round,land1,land2,dd,result,stadium
gG,PL,LT,20250321,1-0,
gG,MT,FI,20250321,0-1,
gG,LT,FI,20250324,2-2,
gG,PL,MT,20250324,2-0,
gG,MT,LT,20250607,0-0,
gG,FI,NL,20250607,0-2,Helsinki
gG,NL,MT,20250610,8-0,Groningen
gG,FI,PL,20250610,2-1,
gG,LT,MT,20250904,1-1,
gG,NL,PL,20250904,1-1,
gG,LT,NL,20250907,-,
gG,PL,FI,20250907,-,
