group,land,matches,wins,draws,losses,points,goals scored,goals against,remark
s2,UA,12,7,4,1,25,18,7,+
s2,TR,12,6,5,1,23,23,9,
s2,DK,12,6,4,2,22,24,12,
s2,GR,12,6,3,3,21,15,9,
s2,AL,12,4,1,7,13,11,20,
s2,GE,12,2,4,6,10,14,25,
s2,KZ,12,0,1,11,1,6,29,
s3,PT,12,9,3,0,30,35,5,+
s3,SK,12,6,5,1,23,24,8,
s3,RU,12,6,5,1,23,23,12,
s3,EE,12,5,2,5,17,16,17,
s3,LV,12,4,3,5,15,18,21,
s3,LI,12,2,2,8,8,13,23,
s3,LU,12,0,0,12,0,5,48,
s4,FR,10,5,5,0,20,14,2,+
s4,CH,10,4,6,0,18,18,7,+
s4,IL,10,4,6,0,18,15,10,
s4,IE,10,4,5,1,17,12,5,
s4,CY,10,1,1,8,4,8,20,
s4,FO,10,0,1,9,1,4,27,
s5,IT,10,7,2,1,23,17,8,+
s5,NO,10,5,3,2,18,12,7,
s5,G2,10,3,4,3,13,9,7,
s5,SI,10,3,3,4,12,10,13,
s5,BY,10,2,4,4,10,12,14,
s5,MD,10,1,2,7,5,5,16,
s6,G1,10,8,1,1,25,17,5,+
s6,PL,10,8,0,2,24,27,9,+
s6,AT,10,4,3,3,15,15,12,
s6,G4,10,2,3,5,9,10,18,
s6,G3,10,2,2,6,8,10,15,
s6,AZ,10,0,3,7,3,1,21,
s7,CS,10,6,4,0,22,16,1,+
s7,ES,10,5,5,0,20,19,3,+
s7,BA,10,4,4,2,16,12,9,
s7,BE,10,3,3,4,12,16,11,
s7,LT,10,2,4,4,10,8,9,
s7,SM,10,0,0,10,0,2,40,
s8,HR,10,7,3,0,24,21,5,+
s8,SE,10,8,0,2,24,30,4,+
s8,BG,10,4,3,3,15,17,17,
s8,HU,10,4,2,4,14,13,14,
s8,IS,10,1,1,8,4,14,27,
s8,MT,10,0,3,7,3,4,32,
