phase,land,remark
qf,BE,gastland
qf,NL,gastland
qf,IT,groepswinnaar
qf,NO,groepswinnaar
qf,DE,groepswinnaar
qf,FR,groepswinnaar
qf,SE,groepswinnaar
qf,ES,groepswinnaar
qf,RO,groepswinnaar
qf,YU,groepswinnaar
qf,CZ,groepswinnaar
qf,PT,beste runner-up
qf,G1,winnaar beslissingswedstrijd
qf,DK,winnaar beslissingswedstrijd
qf,SI,winnaar beslissingswedstrijd
qf,TR,winnaar beslissingswedstrijd
