group,land,matches,wins,draws,losses,points,goals scored,goals against,remark
s1,IT, 8, 4,3, 1,15,13, 5,*
s1,DK, 8, 4,2, 2,14,11, 8,
s1,CH, 8, 4,2, 2,14, 9, 5,-
s1,G3, 8, 3,0, 5, 9, 7,16,-
s1,BY, 8, 0,3, 5, 3, 4,10,-
s2,NO,10, 8,1, 1,25,21, 9,*
s2,SI,10, 5,2, 3,17,12,13,
s2,GR,10, 4,3, 3,15,12, 8,-
s2,LV,10, 3,4, 3,13,13,12,-
s2,AL,10, 1,4, 5, 7, 8,13,-
s2,GE,10, 1,2, 7, 5, 8,18,-
s3,DE, 8, 6,1, 1,19,20, 4,*
s3,TR, 8, 5,2, 1,17,15, 6,
s3,FI, 8, 3,1, 4,10,13,13,-
s3,G4, 8, 1,2, 5, 5, 4,19,-
s3,MD, 8, 0,4, 4, 4, 7,17,-
s4,FR,10, 6,3, 1,21,17,10,*
s4,UA,10, 5,5, 0,20,14, 4,
s4,RU,10, 6,1, 3,19,22,12,-
s4,IS,10, 4,3, 3,15,12, 7,-
s4,AM,10, 2,2, 6, 8, 8,15,-
s4,AD,10, 0,0,10, 0, 3,28,-
s5,SE, 8, 7,1, 0,22,10, 1,*
s5,G1, 8, 3,4, 1,13,14, 4,
s5,PL, 8, 4,1, 3,13,12, 8,-
s5,BG, 8, 2,2, 4, 8, 6, 8,-
s5,LU, 8, 0,0, 8, 0, 2,23,-
s6,ES, 8, 7,0, 1,21,42, 5,*
s6,IL, 8, 4,1, 3,13,25, 9,
s6,AT, 8, 4,1, 3,13,19,20,-
s6,CY, 8, 4,0, 4,12,12,21,-
s6,SM, 8, 0,0, 8, 0, 1,44,-
s7,RO,10, 7,3, 0,24,25, 3,*
s7,PT,10, 7,2, 1,23,32, 4,*
s7,SK,10, 5,2, 3,17,12, 9,-
s7,HU,10, 3,3, 4,12,14,10,-
s7,AZ,10, 1,1, 8, 4, 6,26,-
s7,LI,10, 1,1, 8, 4, 2,39,-
s8,YU, 8, 5,2, 1,17,18, 8,*
s8,IE, 8, 5,1, 2,16,14, 6,
s8,HR, 8, 4,3, 1,15,13, 9,-
s8,MK, 8, 2,2, 4, 8,13,14,-
s8,MT, 8, 0,0, 8, 0, 6,27,-
s9,CZ,10,10,0, 0,30,26, 5,*
s9,G2,10, 5,3, 2,18,15,10,
s9,BA,10, 3,2, 5,11,14,17,-
s9,LT,10, 3,2, 5,11, 8,16,-
s9,EE,10, 3,2, 5,11,15,17,-
s9,FO,10, 0,3, 7, 3, 4,17,-
