round,land1,land2,dd,result
gC,NL,BY,20190321,4-0
gC,G4,EE,20190321,2-0
gC,NL,DE,20190324,2-3
gC,G4,BY,20190324,2-1
gC,EE,G4,20190608,1-2
gC,BY,DE,20190608,0-2
gC,DE,EE,20190611,8-0
gC,BY,G4,20190611,0-1
gC,EE,BY,20190906,1-2
gC,DE,NL,20190906,2-4
gC,EE,NL,20190909,0-4
gC,G4,DE,20190909,0-2
gC,BY,EE,20191010,0-0
gC,NL,G4,20191010,3-1
gC,BY,NL,20191013,1-2
gC,EE,DE,20191013,0-3
gC,DE,BY,20191116,4-0
gC,G4,NL,20191116,0-0
gC,NL,EE,20191119,5-0
gC,DE,G4,20191119,6-1
