phase,land,remark
qf,ZA,gastland
qf,NL,europa
qf,DE,europa
qf,G1,europa
qf,ES,europa
qf,DK,europa
qf,RS,europa
qf,IT,europa
qf,CH,europa
qf,SK,europa
qf,SI,europa (p-o)
qf,GR,europa (p-o)
qf,FR,europa (p-o)
qf,PT,europa (p-o)
qf,GH,afrika
qf,CI,afrika
qf,NG,afrika
qf,CM,afrika
qf,AL,afrika (p-o)
qf,AU,azie
qf,JP,azie
qf,KP,azie
qf,KR,azie
qf,BR,z-amerika
qf,PY,z-amerika
qf,CL,z-amerika
qf,AR,z-amerika
qf,UY,z-amerika (p-o)
qf,US,n/m-amerika
qf,MX,n/m-amerika
qf,HN,n/m-amerika
qf,NZ,oceanie
