round,land1,land2,dd,result,star
po,G2,G1,19991113,0-2,
po,G1,G2,19991117,0-1,1
po,IL,DK,19991113,0-5,
po,DK,IL,19991117,3-0,1
po,SI,UA,19991113,2-1,
po,UA,SI,19991117,1-1,2
po,IE,TR,19991113,1-1,
po,TR,IE,19991117,0-0,1
