round,land1,land2,dd,result,star
gB,FR,NL,20230324,4-0,
gB,GI,GR,20230324,0-3,
gB,NL,GI,20230327,3-0,
gB,IE,FR,20230327,0-1,
gB,GR,IE,20230616,2-1,
gB,GI,FR,20230616,0-3,
gB,FR,GR,20230619,1-0,
gB,IE,GI,20230619,3-0,
gB,NL,GR,20230907,3-0,
gB,FR,IE,20230907,2-0,
gB,IE,NL,20230910,1-2,
gB,GR,GI,20230910,5-0,
gB,NL,FR,20231013,1-2,
gB,IE,GR,20231013,0-2,
gB,GR,NL,20231016,-,
gB,GI,IE,20231016,-,
gB,NL,IE,20231118,-,
gB,FR,GI,20231118,-,
