# todo
gG,LU,NL,20060902,0,1
gG,BY,AL,20060902,2,2
gG,RO,BG,20060902,2,2
gG,NL,BY,20060906,3,0
gG,AL,RO,20060906,0,2
gG,BG,SI,20060906,3,0
gG,BG,NL,20061007,1,1
gG,RO,BY,20061007,3,1
gG,SI,LU,20061007,2,0
gG,NL,AL,20061011,2,1
gG,LU,BG,20061011,0,1
gG,BY,SI,20061011,4,2
gG,NL,RO,20070324,0,0
gG,LU,BY,20070324,1,2
gG,AL,SI,20070324,0,0
gG,SI,NL,20070328,0,1
gG,BG,AL,20070328,0,0
gG,RO,LU,20070328,3,0
gG,SI,RO,20070602,1,2
gG,BY,BG,20070602,0,2
gG,AL,LU,20070602,2,0
gG,BG,BY,20070606,2,1
gG,RO,SI,20070606,2,0
gG,LU,AL,20070606,0,3
gG,NL,BG,20070908,2,0
gG,BY,RO,20070908,1,3
gG,LU,SI,20070908,0,3
gG,AL,NL,20070912,0,1
gG,BG,LU,20070912,3,0
gG,SI,BY,20070912,1,0
gG,RO,NL,20071013,1,0
gG,SI,AL,20071013,0,0
gG,BY,LU,20071013,0,1
gG,NL,SI,20071017,2,0
gG,LU,RO,20071017,0,2
gG,AL,BG,20071017,1,1
gG,NL,LU,20071117,1,0
gG,BG,RO,20071117,1,0
gG,AL,BY,20071117,2,4
gG,BY,NL,20071121,2,1
gG,SI,BG,20071121,0,2
gG,RO,AL,20071121,6,1
