group,land,matches,wins,draws,losses,points,goals scored,goals against,remark
sA,PL,14,8,4,2,28,24,12,+
sA,PT,14,7,6,1,27,24,10,+
sA,RS,14,6,6,2,24,22,11,
sA,FI,14,6,6,2,24,13,7,
sA,BE,14,5,3,6,18,14,16,
sA,KZ,14,2,4,8,10,11,21,
sA,AM,12,2,3,7,9,4,13,
sA,AZ,12,1,2,9,5,6,28, #onderlinge duels AM en AZ zijn niet gespeeld.
sB,IT,12,9,2,1,29,22,9,+
sB,FR,12,8,2,2,26,25,5,+
sB,G2,12,8,0,4,24,21,12,
sB,UA,12,5,2,5,17,18,16,
sB,LT,12,5,1,6,16,11,13,
sB,GE,12,3,1,8,10,16,19,
sB,FO,12,0,0,12,0,4,43,
sC,GR,12,10,1,1,31,25,10,+
sC,TR,12,7,3,2,24,25,11,+
sC,NO,12,7,2,3,23,27,11,
sC,BA,12,4,1,7,13,16,22,
sC,MD,12,3,3,6,12,12,19,
sC,HU,12,4,0,8,12,11,22,
sC,MT,12,1,2,9,5,10,31,
sD,CZ,12,9,2,1,29,27,5,+
sD,DE,12,8,3,1,27,35,7,+
sD,IE,12,4,5,3,17,17,14,
sD,SK,12,5,1,6,16,33,23,
sD,G3,12,4,3,5,15,18,19,
sD,CY,12,4,2,6,14,17,24,
sD,SM,12,0,0,12,0,2,57,
sE,HR,12,9,2,1,29,28,8,+
sE,RU,12,7,3,2,24,18,7,+
sE,G1,12,7,2,3,23,24,7,
sE,IL,12,7,2,3,23,20,12,
sE,MK,12,4,2,6,14,12,12,
sE,EE,12,2,1,9,7,5,21,
sE,AD,12,0,0,12,0,2,42,
sF,ES,12,9,1,2,28,23,8,+
sF,SE,12,8,2,2,26,23,9,+
sF,DK,12,6,2,4,20,21,11,
sF,G4,12,6,2,4,20,17,14,
sF,LV,12,4,0,8,12,15,17,
sF,IS,12,2,2,8,8,10,27,
sF,LI,12,2,1,9,7,9,32,
